Type of livestock,Year,Heads (Thousands),Percent
Horse,1/1/1970,2315.001,10.25483679
Horse,1/1/1971,2269.525,10.00118056
Horse,1/1/1972,2239.378,9.690898666
Horse,1/1/1973,2185.36,9.284384492
Horse,1/1/1974,2264.93,9.315525063
Horse,1/1/1975,2254.621,9.258626476
Horse,1/1/1976,2204.6,9.308393852
Horse,1/1/1977,2103.5,9.168733464
Horse,1/1/1978,2078.4,8.650700497
Horse,1/1/1979,2078.9,8.56056925
Horse,1/1/1980,1985.4,8.352053308
Horse,1/1/1981,1991.1,8.206322384
Horse,1/1/1982,2027.9,8.188804045
Horse,1/1/1983,1959.5,8.31342834
Horse,1/1/1984,1960.8,8.679140053
Horse,1/1/1985,1971,8.765648974
Horse,1/1/1986,2047.1,8.994762466
Horse,1/1/1987,2047.1,9.001763327
Horse,1/1/1988,2102.9,9.035559604
Horse,1/1/1989,2199.6,8.914321841
Horse,1/1/1990,2262,8.747471857
Horse,1/1/1991,2259.3,8.850316712
Horse,1/1/1992,2200.2,8.563055332
Horse,1/1/1993,2190.3,8.322946908
Horse,1/1/1994,2408.9,8.985717003
Horse,1/1/1995,2684.4,9.383290863
Horse,1/1/1996,2770.5,9.455631399
Horse,1/1/1997,2893.2,9.245724987
Horse,1/1/1998,3059.1,9.298882894
Horse,1/1/1999,3163.3,9.423361643
Horse,1/1/2000,2660.8,8.802609553
Horse,1/1/2001,2191.8,8.405688163
Horse,1/1/2002,1988.9,8.322593064
Horse,1/1/2003,1968.9,7.743130523
Horse,1/1/2004,2005.3,7.15465661
Horse,1/1/2005,2029.1,6.674934537
Horse,1/1/2006,2114.8,6.076487659
Horse,1/1/2007,2239.5,5.56206816
Horse,1/1/2008,2186.9,5.051930771
Horse,1/1/2009,2221.3,5.045679837
Horse,1/1/2010,1920.3,5.867184039
Horse,1/1/2011,2112.9,5.814926326
Horse,1/1/2012,2330.428,5.694955746
Horse,1/1/2013,2619.377,5.802228869
Horse,1/1/2014,2995.754,5.762995656
Horse,1/1/2015,3295.336,5.886653969
Horse,1/1/2016,3635.489,5.906635462
Horse,1/1/2017,3939.813,5.949675228
Cattle,1/1/1970,2107.829,9.337120106
