Date,CNY
2008-01-02,160.18
2008-01-03,160.39
2008-01-04,160.87
2008-01-07,160.82
2008-01-08,160.86
2008-01-09,161.01
2008-01-10,161.15
2008-01-11,161.00
2008-01-14,161.10
2008-01-15,161.31
2008-01-16,161.37
2008-01-17,161.78
2008-01-18,161.54
2008-01-21,161.66
2008-01-22,161.85
2008-01-23,161.80
2008-01-24,161.96
2008-01-25,162.07
2008-01-28,162.50
2008-01-29,162.48
2008-01-30,162.87
2008-01-31,162.92
2008-02-01,163.14
2008-02-04,163.13
2008-02-05,163.13
2008-02-06,163.10
2008-02-07,162.99
2008-02-11,162.97
2008-02-12,162.91
2008-02-13,162.92
2008-02-14,162.71
2008-02-15,162.94
2008-02-18,163.13
2008-02-19,163.50
2008-02-20,163.74
2008-02-21,163.82
2008-02-22,163.97
2008-02-25,164.04
2008-02-26,163.89
2008-02-27,163.76
2008-02-28,164.01
2008-02-29,164.69
2008-03-03,164.95
2008-03-04,164.97
2008-03-05,164.89
2008-03-06,164.94
2008-03-07,164.86
2008-03-10,164.97
2008-03-11,164.89
2008-03-12,165.01
2008-03-13,164.97
2008-03-14,165.17
2008-03-17,165.46
2008-03-18,165.40
2008-03-19,165.27
2008-03-20,165.63
2008-03-21,165.75
2008-03-24,165.72
2008-03-25,165.71
2008-03-26,165.76
2008-03-27,166.29
2008-03-28,166.57
2008-03-31,166.58
2008-04-01,166.55
2008-04-02,166.55
2008-04-03,166.42
2008-04-04,166.45
2008-04-07,166.40
2008-04-08,166.76
2008-04-09,166.77
2008-04-10,166.73
2008-04-11,166.96
2008-04-14,166.75
2008-04-15,166.72
2008-04-16,166.80
2008-04-17,166.79
2008-04-18,167.05
2008-04-21,166.66
2008-04-22,166.57
2008-04-23,166.78
2008-04-24,166.84
2008-04-25,166.58
2008-04-28,166.26
2008-04-29,166.29
2008-04-30,166.71
2008-05-01,166.59
2008-05-02,166.69
2008-05-05,166.62
2008-05-06,166.63
2008-05-07,166.62
2008-05-08,166.62
2008-05-09,166.26
2008-05-12,166.52
2008-05-13,166.56
2008-05-14,166.54
2008-05-15,166.27
2008-05-16,166.35
2008-05-19,166.48
2008-05-20,166.60
2008-05-21,166.61
2008-05-22,167.05
2008-05-23,167.36
2008-05-26,167.42
2008-05-27,167.50
2008-05-28,167.31
2008-05-29,167.28
2008-05-30,167.41
2008-06-02,167.24
2008-06-03,167.42
2008-06-04,167.58
2008-06-05,167.16
2008-06-06,167.10
2008-06-09,167.55
2008-06-10,167.54
2008-06-11,167.44
2008-06-12,167.46
2008-06-13,167.77
2008-06-16,167.83
2008-06-17,167.90
2008-06-18,168.13
2008-06-19,168.34
2008-06-20,168.43
2008-06-23,168.38
2008-06-24,168.49
2008-06-25,168.67
2008-06-26,168.67
2008-06-27,168.78
2008-06-30,168.78
2008-07-01,168.85
2008-07-02,168.80
2008-07-03,168.57
2008-07-04,168.89
2008-07-07,168.69
2008-07-08,168.56
2008-07-09,168.85
2008-07-10,168.71
2008-07-14,169.05
2008-07-15,169.23
2008-07-16,169.50
2008-07-17,169.87
2008-07-18,169.52
2008-07-21,169.62
2008-07-22,169.31
2008-07-23,169.50
2008-07-24,169.31
2008-07-25,169.23
2008-07-28,169.41
2008-07-29,169.19
2008-07-30,169.13
2008-07-31,169.03
2008-08-01,169.10
2008-08-04,168.73
2008-08-05,168.33
2008-08-06,168.41
2008-08-07,168.57
2008-08-08,168.17
2008-08-11,168.14
2008-08-12,168.14
2008-08-13,168.09
2008-08-14,168.08
2008-08-15,168.05
2008-08-18,167.75
2008-08-19,167.63
2008-08-20,167.80
2008-08-21,168.04
2008-08-22,168.30
2008-08-25,168.54
2008-08-26,168.29
2008-08-27,167.98
2008-08-28,168.32
2008-08-29,168.54
2008-09-01,168.22
2008-09-02,168.59
2008-09-03,168.01
2008-09-04,167.98
2008-09-05,167.96
2008-09-08,167.96
2008-09-09,167.95
2008-09-10,167.92
2008-09-11,168.00
2008-09-12,167.72
2008-09-15,167.74
2008-09-16,167.88
2008-09-17,167.86
2008-09-18,167.76
2008-09-19,167.74
2008-09-22,167.84
2008-09-23,168.05
2008-09-24,168.08
2008-09-25,168.11
2008-09-26,168.09
2008-09-29,167.47
2008-09-30,167.43
2008-10-01,167.43
2008-10-02,167.39
2008-10-03,167.39
2008-10-06,167.36
2008-10-07,167.03
2008-10-08,167.81
2008-10-09,167.97
2008-10-10,167.88
