Aimag,Year,Temprature anomalies
Arkhangai,1999,2.75
Arkhangai,2000,-0.39
Arkhangai,2001,-1.62
Arkhangai,2002,0.86
Arkhangai,2003,-0.1
Arkhangai,2004,0.54
Arkhangai,2005,-2.7
Arkhangai,2006,-0.17
Arkhangai,2007,3.05
Arkhangai,2008,-0.66
Arkhangai,2009,0.91
Arkhangai,2010,-3.36
Arkhangai,2011,-1.06
Arkhangai,2012,-3.23
Arkhangai,2013,-2.33
Arkhangai,2014,1.49
Bayanhongor,1999,3.36
Bayanhongor,2000,-0.34
Bayanhongor,2001,-0.36
Bayanhongor,2002,0.31
Bayanhongor,2003,-0.13
Bayanhongor,2004,-0.29
Bayanhongor,2005,-2.7
Bayanhongor,2006,0.09
Bayanhongor,2007,2.49
Bayanhongor,2008,-1.3
Bayanhongor,2009,1.88
Bayanhongor,2010,-2.17
Bayanhongor,2011,-1
Bayanhongor,2012,-1.7
Bayanhongor,2013,-1.24
Bayanhongor,2014,0.74
Bayan‐Ulgii,1999,2.76
Bayan‐Ulgii,2000,0.74
Bayan‐Ulgii,2001,0.16
Bayan‐Ulgii,2002,0.49
Bayan‐Ulgii,2003,0.84
Bayan‐Ulgii,2004,0.71
Bayan‐Ulgii,2005,-3.7
Bayan‐Ulgii,2006,0.59
Bayan‐Ulgii,2007,3.74
Bayan‐Ulgii,2008,-1.19
Bayan‐Ulgii,2009,2.08
Bayan‐Ulgii,2010,-0.95
Bayan‐Ulgii,2011,-0.36
Bayan‐Ulgii,2012,-2.56
Bayan‐Ulgii,2013,0.23
Bayan‐Ulgii,2014,0.98
Bulgan,1999,3.52
Bulgan,2000,-0.62
Bulgan,2001,-2.79
Bulgan,2002,1.06
Bulgan,2003,-3.65
Bulgan,2004,-0.45
Bulgan,2005,-3.02
Bulgan,2006,-0.32
Bulgan,2007,3.21
Bulgan,2008,-0.29
Bulgan,2009,2.31
Bulgan,2010,-3.29
Bulgan,2011,-1.32
Bulgan,2012,-4.27
Bulgan,2013,-4.08
Bulgan,2014,0.92
Dornod,1999,1
Dornod,2000,-0.57
Dornod,2001,-4.62
Dornod,2002,1.93
Dornod,2003,-1.51
Dornod,2004,-0.52
Dornod,2005,-2.21
Dornod,2006,-1.01
Dornod,2007,1.93
Dornod,2008,-0.11
Dornod,2009,0.08
Dornod,2010,-3.68
Dornod,2011,-1.55
Dornod,2012,-3.47
Dornod,2013,-3.73
Dornod,2014,2.12
Dornogobi,1999,1.64
Dornogobi,2000,-1.15
Dornogobi,2001,-1.13
Dornogobi,2002,2.8
Dornogobi,2003,-1.46
Dornogobi,2004,1.38
Dornogobi,2005,-0.57
Dornogobi,2006,0.55
Dornogobi,2007,2.77
Dornogobi,2008,0.37
Dornogobi,2009,1.84
Dornogobi,2010,-2.33
Dornogobi,2011,0.03
Dornogobi,2012,-2.52
Dornogobi,2013,-1.15
Dornogobi,2014,3.23
Dundgobi,1999,3.11
Dundgobi,2000,0.07
Dundgobi,2001,-0.28
Dundgobi,2002,0.36
Dundgobi,2003,-0.58
Dundgobi,2004,-0.3
Dundgobi,2005,-1.93
Dundgobi,2006,1.37
Dundgobi,2007,3.7
Dundgobi,2008,0.02
Dundgobi,2009,1.94
Dundgobi,2010,-3.27
Dundgobi,2011,-0.56
Dundgobi,2012,-2.13
Dundgobi,2013,-2.14
Dundgobi,2014,1.66
Gobi‐Altai,1999,2.89
Gobi‐Altai,2000,0.06
Gobi‐Altai,2001,0.05
Gobi‐Altai,2002,-1.76
Gobi‐Altai,2003,-0.47
Gobi‐Altai,2004,-0.49
Gobi‐Altai,2005,-3.2
Gobi‐Altai,2006,-0.11
Gobi‐Altai,2007,2.08
Gobi‐Altai,2008,-2.66
Gobi‐Altai,2009,1.05
Gobi‐Altai,2010,-2.34
Gobi‐Altai,2011,-2.6
Gobi‐Altai,2012,-2.01
Gobi‐Altai,2013,0.11
Gobi‐Altai,2014,0.25
Gobi‐sumber,1999,0.12
Gobi‐sumber,2000,0.17
Gobi‐sumber,2001,-3.95
Gobi‐sumber,2002,1.8
Gobi‐sumber,2003,-0.83
Gobi‐sumber,2004,0.37
Gobi‐sumber,2005,-0.65
Gobi‐sumber,2006,1.67
Gobi‐sumber,2007,3.6
Gobi‐sumber,2008,1.47
Gobi‐sumber,2009,1.85
Gobi‐sumber,2010,-3.5
Gobi‐sumber,2011,1.02
Gobi‐sumber,2012,-2.93
Gobi‐sumber,2013,-2.95
Gobi‐sumber,2014,2.95
Khentii,1999,0.45
Khentii,2000,-0.24
Khentii,2001,-5.37
Khentii,2002,1.66
Khentii,2003,-3.59
Khentii,2004,-0.79
Khentii,2005,-3.11
Khentii,2006,0.24
Khentii,2007,2.09
Khentii,2008,-0.29
Khentii,2009,1.28
Khentii,2010,-4.59
Khentii,2011,-0.37
Khentii,2012,-3.12
Khentii,2013,-3.49
Khentii,2014,1.61
Khovd,1999,3.82
Khovd,2000,1.46
Khovd,2001,-0.02
Khovd,2002,-1.62
Khovd,2003,0.2
Khovd,2004,0.42
Khovd,2005,-3.83
Khovd,2006,0.64
Khovd,2007,3.07
Khovd,2008,-0.42
Khovd,2009,0.47
Khovd,2010,-4.34
Khovd,2011,-1.25
Khovd,2012,-2.46
Khovd,2013,0.28
Khovd,2014,-0.59
Khuvsgul,1999,2.93
Khuvsgul,2000,-0.97
Khuvsgul,2001,-1.84
Khuvsgul,2002,1.03
Khuvsgul,2003,-1.73
Khuvsgul,2004,2.13
Khuvsgul,2005,-3.13
Khuvsgul,2006,0.72
Khuvsgul,2007,4.28
Khuvsgul,2008,-0.52
Khuvsgul,2009,1.83
Khuvsgul,2010,-2.82
Khuvsgul,2011,-0.38
Khuvsgul,2012,-3.29
Khuvsgul,2013,-3.38
Khuvsgul,2014,1.7
Orkhon,1999,1.91
Orkhon,2000,-0.32
Orkhon,2001,-2.9
Orkhon,2002,1.81
Orkhon,2003,-0.57
Orkhon,2004,0.11
Orkhon,2005,-2.32
Orkhon,2006,-1.25
Orkhon,2007,3.06
Orkhon,2008,-0.55
Orkhon,2009,0.23
Orkhon,2010,-4.02
Orkhon,2011,-1.35
Orkhon,2012,-2.4
Orkhon,2013,-3.07
Orkhon,2014,0.71
Selenge,1999,2.01
Selenge,2000,-0.35
Selenge,2001,-4.29
Selenge,2002,1.65
Selenge,2003,-2.63
Selenge,2004,-1.6
Selenge,2005,-3.97
Selenge,2006,-0.94
Selenge,2007,3.23
Selenge,2008,-0.22
Selenge,2009,1.38
Selenge,2010,-3.31
Selenge,2011,-1.54
Selenge,2012,-3.27
Selenge,2013,-4.27
Selenge,2014,1.08
Sukhbaatar,1999,0.85
Sukhbaatar,2000,-0.12
Sukhbaatar,2001,-4.03
Sukhbaatar,2002,2.26
Sukhbaatar,2003,-0.93
Sukhbaatar,2004,0.53
Sukhbaatar,2005,-0.92
Sukhbaatar,2006,0.66
Sukhbaatar,2007,2.27
Sukhbaatar,2008,0.84
Sukhbaatar,2009,0.76
Sukhbaatar,2010,-2.29
Sukhbaatar,2011,-0.98
Sukhbaatar,2012,-2.04
Sukhbaatar,2013,-2.54
Sukhbaatar,2014,2.33
Tuv,1999,0.57
Tuv,2000,-0.28
Tuv,2001,-3.75
Tuv,2002,1.23
Tuv,2003,-1.61
Tuv,2004,-0.67
Tuv,2005,-2.04
Tuv,2006,0.38
Tuv,2007,3.41
Tuv,2008,-0.21
Tuv,2009,0.83
Tuv,2010,-3.49
Tuv,2011,-0.41
Tuv,2012,-3.72
Tuv,2013,-3.77
Tuv,2014,1.1
Ulaanbaatar,1999,-0.16
Ulaanbaatar,2000,-0.67
Ulaanbaatar,2001,-4.3
Ulaanbaatar,2002,0.34
Ulaanbaatar,2003,-1.97
Ulaanbaatar,2004,-0.56
Ulaanbaatar,2005,-1.68
