Aimag,Year,Snowfall anomalies
Arkhangai,1999,-3.8
Arkhangai,2000,4.57
Arkhangai,2001,8.1
Arkhangai,2002,5.44
Arkhangai,2003,9.7
Arkhangai,2004,2.3
Arkhangai,2005,-2.33
Arkhangai,2006,-3.23
Arkhangai,2007,-2.83
Arkhangai,2008,3.17
Arkhangai,2009,-2.03
Arkhangai,2010,10.2
Arkhangai,2011,8.47
Arkhangai,2012,0
Arkhangai,2013,5.04
Arkhangai,2014,2.27
Bayanhongor,1999,-8.52
Bayanhongor,2000,1.98
Bayanhongor,2001,-6.44
Bayanhongor,2002,9.08
Bayanhongor,2003,16.32
Bayanhongor,2004,-1.26
Bayanhongor,2005,-0.28
Bayanhongor,2006,-6.52
Bayanhongor,2007,1.14
Bayanhongor,2008,1.14
Bayanhongor,2009,-6.76
Bayanhongor,2010,0.42
Bayanhongor,2011,1.78
Bayanhongor,2012,-2.3
Bayanhongor,2013,-0.28
Bayanhongor,2014,-2.44
Bayan‐Ulgii,1999,3.07
Bayan‐Ulgii,2000,-5.63
Bayan‐Ulgii,2001,0.3
Bayan‐Ulgii,2002,4.07
Bayan‐Ulgii,2003,1.87
Bayan‐Ulgii,2004,0.64
Bayan‐Ulgii,2005,5.84
Bayan‐Ulgii,2006,-3.06
Bayan‐Ulgii,2007,-4.83
Bayan‐Ulgii,2008,7.74
Bayan‐Ulgii,2009,-0.96
Bayan‐Ulgii,2010,21.6
Bayan‐Ulgii,2011,7.7
Bayan‐Ulgii,2012,-1.3
Bayan‐Ulgii,2013,4.1
Bayan‐Ulgii,2014,5.24
Bulgan,1999,-4.38
Bulgan,2000,3.07
Bulgan,2001,7.02
Bulgan,2002,1.82
Bulgan,2003,10.97
Bulgan,2004,14.97
Bulgan,2005,-0.78
Bulgan,2006,1.27
Bulgan,2007,0.22
Bulgan,2008,3.52
Bulgan,2009,3.27
Bulgan,2010,5.82
Bulgan,2011,20.22
Bulgan,2012,1.82
Bulgan,2013,11.82
Bulgan,2014,10.47
Dornod,1999,6.45
Dornod,2000,-3.08
Dornod,2001,16.07
Dornod,2002,0.6
Dornod,2003,9.72
Dornod,2004,12.97
Dornod,2005,2.47
Dornod,2006,-0.38
Dornod,2007,3.72
Dornod,2008,-0.55
Dornod,2009,7.92
Dornod,2010,14.12
Dornod,2011,9.5
Dornod,2012,6.15
Dornod,2013,20.37
Dornod,2014,0.17
Dornogobi,1999,-2.63
Dornogobi,2000,-1.58
Dornogobi,2001,-0.86
Dornogobi,2002,-4.41
Dornogobi,2003,2.82
Dornogobi,2004,-5.28
Dornogobi,2005,-2.33
Dornogobi,2006,-3.83
Dornogobi,2007,0.04
Dornogobi,2008,-2.76
Dornogobi,2009,-0.71
Dornogobi,2010,6.14
Dornogobi,2011,-1.08
Dornogobi,2012,6.12
Dornogobi,2013,2.24
Dornogobi,2014,-7.16
Dundgobi,1999,-4.58
Dundgobi,2000,-1.13
Dundgobi,2001,-3.53
Dundgobi,2002,4.77
Dundgobi,2003,3.57
Dundgobi,2004,4.32
Dundgobi,2005,0.77
Dundgobi,2006,-5.08
Dundgobi,2007,2.22
