Aimag,Year,Livestock Loss Rates from - 1998-2017
Arkhangai,1998,0.01
Arkhangai,1999,0.01
Arkhangai,2000,0.06
Arkhangai,2001,0.24
Arkhangai,2002,0.04
Arkhangai,2003,0.07
Arkhangai,2004,0.01
Arkhangai,2005,0.01
Arkhangai,2006,0.01
Arkhangai,2007,0.01
Arkhangai,2008,0.01
Arkhangai,2009,0.02
Arkhangai,2010,0.3
Arkhangai,2011,0.03
Arkhangai,2012,0.02
Arkhangai,2013,0.06
Arkhangai,2014,0.02
Arkhangai,2015,0.02
Arkhangai,2016,0.03
Arkhangai,2017,0.03
Bayankhongor,1998,0.02
Bayankhongor,1999,0.03
Bayankhongor,2000,0.09
Bayankhongor,2001,0.19
Bayankhongor,2002,0.43
Bayankhongor,2003,0.02
Bayankhongor,2004,0.01
Bayankhongor,2005,0.01
Bayankhongor,2006,0.01
Bayankhongor,2007,0.01
Bayankhongor,2008,0.03
Bayankhongor,2009,0.07
Bayankhongor,2010,0.24
Bayankhongor,2011,0.01
Bayankhongor,2012,0.01
Bayankhongor,2013,0.02
Bayankhongor,2014,0.02
Bayankhongor,2015,0.02
Bayankhongor,2016,0.03
Bayankhongor,2017,0.01
Bayan‐Ulgii,1998,0.12
Bayan‐Ulgii,1999,0.02
Bayan‐Ulgii,2000,0.06
Bayan‐Ulgii,2001,0.07
Bayan‐Ulgii,2002,0.13
Bayan‐Ulgii,2003,0.02
Bayan‐Ulgii,2004,0.02
Bayan‐Ulgii,2005,0.07
Bayan‐Ulgii,2006,0.01
Bayan‐Ulgii,2007,0.02
Bayan‐Ulgii,2008,0.04
Bayan‐Ulgii,2009,0.08
Bayan‐Ulgii,2010,0.12
Bayan‐Ulgii,2011,0.01
Bayan‐Ulgii,2012,0.07
Bayan‐Ulgii,2013,0.01
Bayan‐Ulgii,2014,0
Bayan‐Ulgii,2015,0
Bayan‐Ulgii,2016,0.02
Bayan‐Ulgii,2017,0.01
Bulgan,1998,0.01
Bulgan,1999,0.01
