Aimag,Year,Past values of the vulnerability index according to Aimag - 1: Average weighed by livestock numbers in SFU
Arkhangai,1998,1.13
Arkhangai,1999,1.69
Arkhangai,2000,1.94
Arkhangai,2001,2.63
Arkhangai,2002,2.81
Arkhangai,2003,1.15
Arkhangai,2004,1.3
Arkhangai,2005,1.57
Arkhangai,2006,1.33
Arkhangai,2007,1.36
Arkhangai,2008,2.34
Arkhangai,2009,3.35
Arkhangai,2010,1.86
Arkhangai,2011,1.31
Arkhangai,2012,1.35
Arkhangai,2013,1.49
Arkhangai,2014,2.54
Arkhangai,2015,2.67
Arkhangai,2016,2.4
Arkhangai,2017,3.07
Bayankhongor,1998,1.57
Bayankhongor,1999,2.14
Bayankhongor,2000,2.92
Bayankhongor,2001,3.42
Bayankhongor,2002,2.66
Bayankhongor,2003,0.6
Bayankhongor,2004,1.2
Bayankhongor,2005,1.17
Bayankhongor,2006,2.27
Bayankhongor,2007,1.42
Bayankhongor,2008,3.04
Bayankhongor,2009,4.24
Bayankhongor,2010,2.47
Bayankhongor,2011,0.85
Bayankhongor,2012,1.06
Bayankhongor,2013,1.34
Bayankhongor,2014,2.51
Bayankhongor,2015,3.28
Bayankhongor,2016,2.15
Bayankhongor,2017,4.85
Bayan‐Ulgii,1998,1.72
Bayan‐Ulgii,1999,1.53
Bayan‐Ulgii,2000,1.61
Bayan‐Ulgii,2001,2.2
Bayan‐Ulgii,2002,2.84
Bayan‐Ulgii,2003,1.34
Bayan‐Ulgii,2004,1.87
Bayan‐Ulgii,2005,0.92
Bayan‐Ulgii,2006,2.55
Bayan‐Ulgii,2007,1.75
Bayan‐Ulgii,2008,3.56
Bayan‐Ulgii,2009,2.87
Bayan‐Ulgii,2010,2.27
Bayan‐Ulgii,2011,1.54
Bayan‐Ulgii,2012,0.82
Bayan‐Ulgii,2013,0.96
Bayan‐Ulgii,2014,2.05
Bayan‐Ulgii,2015,2.44
Bayan‐Ulgii,2016,1.93
Bayan‐Ulgii,2017,3.54
Bulgan,1998,1.27
Bulgan,1999,2.32
Bulgan,2000,2.86
Bulgan,2001,2.7
Bulgan,2002,2.22
Bulgan,2003,1
Bulgan,2004,1.05
Bulgan,2005,1.09
Bulgan,2006,1.24
Bulgan,2007,1.48
Bulgan,2008,2.54
Bulgan,2009,2.47
Bulgan,2010,2.32
Bulgan,2011,1.73
Bulgan,2012,1.74
Bulgan,2013,1.87
Bulgan,2014,2.67
Bulgan,2015,2.48
Bulgan,2016,2.62
Bulgan,2017,2.89
Darkhan‐Uul,1998,1.3
Darkhan‐Uul,1999,1.3
Darkhan‐Uul,2000,2.12
Darkhan‐Uul,2001,2.44
Darkhan‐Uul,2002,4.14
Darkhan‐Uul,2003,0.78
Darkhan‐Uul,2004,1.41
Darkhan‐Uul,2005,1.37
Darkhan‐Uul,2006,1.1
Darkhan‐Uul,2007,1.29
Darkhan‐Uul,2008,1.94
Darkhan‐Uul,2009,2.18
Darkhan‐Uul,2010,2.11
Darkhan‐Uul,2011,1.89
Darkhan‐Uul,2012,1.47
Darkhan‐Uul,2013,1.95
Darkhan‐Uul,2014,2.99
Darkhan‐Uul,2015,2.09
Darkhan‐Uul,2016,2.34
Darkhan‐Uul,2017,3.1
Dornod,1998,0.7
Dornod,1999,1.98
Dornod,2000,2.26
Dornod,2001,3.06
Dornod,2002,1.45
Dornod,2003,1.24
Dornod,2004,2.68
Dornod,2005,1.67
Dornod,2006,1.32
Dornod,2007,2.47
Dornod,2008,2.09
Dornod,2009,3.18
Dornod,2010,2.4
Dornod,2011,1.39
Dornod,2012,1.22
Dornod,2013,1.43
Dornod,2014,1.89
Dornod,2015,1.96
Dornod,2016,4.67
Dornod,2017,3.18
Dornogovi,1998,0.62
Dornogovi,1999,2.76
Dornogovi,2000,1.18
Dornogovi,2001,2.66
Dornogovi,2002,1.98
Dornogovi,2003,1.16
Dornogovi,2004,1.85
Dornogovi,2005,3.64
Dornogovi,2006,2.03
Dornogovi,2007,1.02
Dornogovi,2008,0.89
Dornogovi,2009,2.25
Dornogovi,2010,1.95
Dornogovi,2011,1.38
Dornogovi,2012,0.69
Dornogovi,2013,1.9
Dornogovi,2014,4.56
Dornogovi,2015,4.14
Dornogovi,2016,2.92
Dornogovi,2017,2.49
Dundgovi,1998,0.96
Dundgovi,1999,4.79
Dundgovi,2000,1.35
Dundgovi,2001,1.24
Dundgovi,2002,2.48
Dundgovi,2003,0.69
Dundgovi,2004,2.45
Dundgovi,2005,2.26
Dundgovi,2006,2.53
Dundgovi,2007,2.01
Dundgovi,2008,2.16
Dundgovi,2009,2.57
Dundgovi,2010,0.77
Dundgovi,2011,0.48
Dundgovi,2012,0.39
Dundgovi,2013,0.88
Dundgovi,2014,3.49
Dundgovi,2015,2.58
Dundgovi,2016,2.69
Dundgovi,2017,1.77
Govi‐Altai,1998,2.56
Govi‐Altai,1999,1.82
Govi‐Altai,2000,1.41
Govi‐Altai,2001,3.63
Govi‐Altai,2002,2.04
Govi‐Altai,2003,0.43
Govi‐Altai,2004,1.24
Govi‐Altai,2005,1.28
Govi‐Altai,2006,2.63
Govi‐Altai,2007,3.21
Govi‐Altai,2008,3.53
Govi‐Altai,2009,3.69
Govi‐Altai,2010,1.29
Govi‐Altai,2011,0.75
Govi‐Altai,2012,1.07
Govi‐Altai,2013,1.15
Govi‐Altai,2014,1.77
Govi‐Altai,2015,1.58
Govi‐Altai,2016,1.63
Govi‐Altai,2017,5.28
Govisumber,1998,0.52
Govisumber,1999,2.38
Govisumber,2000,1.35
Govisumber,2001,1.87
Govisumber,2002,1.79
Govisumber,2003,0.94
Govisumber,2004,1.54
Govisumber,2005,3.7
Govisumber,2006,2.79
Govisumber,2007,3.2
Govisumber,2008,2.21
Govisumber,2009,1.81
Govisumber,2010,2.85
Govisumber,2011,1.03
Govisumber,2012,1.09
Govisumber,2013,2
Govisumber,2014,5.69
Govisumber,2015,2.77
Govisumber,2016,5.55
Govisumber,2017,3.14
Khentii,1998,1.1
Khentii,1999,2.03
Khentii,2000,2.41
Khentii,2001,2.63
Khentii,2002,1.73
Khentii,2003,1.27
Khentii,2004,1.47
Khentii,2005,1.53
Khentii,2006,2.01
Khentii,2007,2.9
Khentii,2008,1.57
Khentii,2009,1.48
Khentii,2010,1.59
Khentii,2011,2.04
Khentii,2012,1.31
Khentii,2013,1.95
Khentii,2014,2.59
Khentii,2015,2.39
Khentii,2016,3.51
