Aimag,Year,Pasture Use Anomaly
Arkhangai,1998,-0.26
Arkhangai,1999,0.04
Arkhangai,2000,0.18
Arkhangai,2001,-0.02
Arkhangai,2002,0.63
Arkhangai,2003,-0.25
Arkhangai,2004,-0.17
Arkhangai,2005,-0.03
Arkhangai,2006,-0.15
Arkhangai,2007,-0.14
Arkhangai,2008,0.38
Arkhangai,2009,0.44
Arkhangai,2010,-0.3
Arkhangai,2011,-0.16
Arkhangai,2012,-0.14
Arkhangai,2013,-0.07
Arkhangai,2014,0.49
Arkhangai,2015,0.37
Arkhangai,2016,0.42
Arkhangai,2017,0.77
Bayankhongor,1998,-0.02
Bayankhongor,1999,0.07
Bayankhongor,2000,0.22
Bayankhongor,2001,0.37
Bayankhongor,2002,-0.1
Bayankhongor,2003,-0.54
Bayankhongor,2004,-0.22
Bayankhongor,2005,-0.24
Bayankhongor,2006,-0.17
Bayankhongor,2007,-0.1
Bayankhongor,2008,0.76
Bayankhongor,2009,0.88
Bayankhongor,2010,-0.07
Bayankhongor,2011,-0.41
Bayankhongor,2012,-0.29
Bayankhongor,2013,-0.14
Bayankhongor,2014,0.48
Bayankhongor,2015,0.67
Bayankhongor,2016,0.04
Bayankhongor,2017,1.72
Bayan‐Ulgii,1998,-0.16
Bayan‐Ulgii,1999,-0.05
Bayan‐Ulgii,2000,0
Bayan‐Ulgii,2001,0.05
Bayan‐Ulgii,2002,0.37
Bayan‐Ulgii,2003,-0.14
Bayan‐Ulgii,2004,0.13
Bayan‐Ulgii,2005,-0.37
Bayan‐Ulgii,2006,0.5
Bayan‐Ulgii,2007,0.07
Bayan‐Ulgii,2008,0.49
Bayan‐Ulgii,2009,0.11
Bayan‐Ulgii,2010,-0.19
Bayan‐Ulgii,2011,-0.04
Bayan‐Ulgii,2012,-0.42
Bayan‐Ulgii,2013,-0.35
Bayan‐Ulgii,2014,0.23
Bayan‐Ulgii,2015,0.44
Bayan‐Ulgii,2016,0.17
Bayan‐Ulgii,2017,0.81
Bulgan,1998,-0.18
Bulgan,1999,0.14
Bulgan,2000,0.16
Bulgan,2001,0.05
Bulgan,2002,0.32
Bulgan,2003,-0.33
Bulgan,2004,-0.3
Bulgan,2005,-0.28
Bulgan,2006,-0.2
Bulgan,2007,-0.07
Bulgan,2008,0.25
Bulgan,2009,0.23
Bulgan,2010,-0.05
Bulgan,2011,0.06
Bulgan,2012,0.07
Bulgan,2013,0.14
Bulgan,2014,0.56
Bulgan,2015,0.46
Bulgan,2016,0.54
Bulgan,2017,0.68
Darkhan‐Uul,1998,-0.17
Darkhan‐Uul,1999,-0.17
Darkhan‐Uul,2000,-0.18
Darkhan‐Uul,2001,-0.07
Darkhan‐Uul,2002,1.34
Darkhan‐Uul,2003,-0.44
Darkhan‐Uul,2004,-0.11
Darkhan‐Uul,2005,-0.13
Darkhan‐Uul,2006,-0.27
Darkhan‐Uul,2007,-0.17
Darkhan‐Uul,2008,0.17
Darkhan‐Uul,2009,0.3
Darkhan‐Uul,2010,-0.16
Darkhan‐Uul,2011,0.14
Darkhan‐Uul,2012,-0.08
Darkhan‐Uul,2013,-0.02
Darkhan‐Uul,2014,0.51
Darkhan‐Uul,2015,0.25
Darkhan‐Uul,2016,0.39
Darkhan‐Uul,2017,0.57
Dornod,1998,-0.48
Dornod,1999,-0.07
Dornod,2000,-0.16
Dornod,2001,0.19
Dornod,2002,-0.09
Dornod,2003,-0.2
Dornod,2004,0.56
Dornod,2005,0.03
Dornod,2006,-0.16
Dornod,2007,0.45
Dornod,2008,0.25
Dornod,2009,0.34
Dornod,2010,-0.07
Dornod,2011,-0.12
Dornod,2012,-0.21
Dornod,2013,-0.27
Dornod,2014,0.15
Dornod,2015,0.18
Dornod,2016,1.62
Dornod,2017,0.65
Dornogovi,1998,-0.53
Dornogovi,1999,0.61
Dornogovi,2000,-0.23
Dornogovi,2001,-0.02
Dornogovi,2002,0.2
Dornogovi,2003,-0.24
Dornogovi,2004,0.13
Dornogovi,2005,1.08
Dornogovi,2006,-0.35
Dornogovi,2007,-0.31
Dornogovi,2008,-0.39
Dornogovi,2009,0.34
Dornogovi,2010,0.18
Dornogovi,2011,-0.13
Dornogovi,2012,-0.49
Dornogovi,2013,0.15
Dornogovi,2014,1.56
Dornogovi,2015,1.34
Dornogovi,2016,0.26
Dornogovi,2017,0.47
Dundgovi,1998,-0.35
Dundgovi,1999,1.45
Dundgovi,2000,-0.54
Dundgovi,2001,-0.2
Dundgovi,2002,0.46
Dundgovi,2003,-0.49
Dundgovi,2004,0.45
Dundgovi,2005,0.34
Dundgovi,2006,-0.05
Dundgovi,2007,0.21
Dundgovi,2008,0.29
Dundgovi,2009,0.51
Dundgovi,2010,-0.45
Dundgovi,2011,-0.6
Dundgovi,2012,-0.65
Dundgovi,2013,-0.39
Dundgovi,2014,0.99
Dundgovi,2015,0.51
Dundgovi,2016,0.34
Dundgovi,2017,-0.07
Govi‐Altai,1998,0.06
Govi‐Altai,1999,0.11
Govi‐Altai,2000,-0.11
Govi‐Altai,2001,0.51
Govi‐Altai,2002,-0.38
Govi‐Altai,2003,-0.63
Govi‐Altai,2004,-0.2
Govi‐Altai,2005,-0.17
Govi‐Altai,2006,0.28
Govi‐Altai,2007,0.59
Govi‐Altai,2008,0.52
Govi‐Altai,2009,0.84
Govi‐Altai,2010,-0.43
Govi‐Altai,2011,-0.46
Govi‐Altai,2012,-0.29
Govi‐Altai,2013,-0.24
Govi‐Altai,2014,0.08
Govi‐Altai,2015,-0.02
Govi‐Altai,2016,0.01
Govi‐Altai,2017,1.95
Govisumber,1998,-0.58
Govisumber,1999,0.41
Govisumber,2000,-0.48
Govisumber,2001,-0.49
Govisumber,2002,0.1
Govisumber,2003,-0.35
Govisumber,2004,-0.04
Govisumber,2005,0.55
Govisumber,2006,0.1
Govisumber,2007,0.84
Govisumber,2008,0.31
Govisumber,2009,-0.16
Govisumber,2010,0.36
Govisumber,2011,-0.31
Govisumber,2012,-0.28
Govisumber,2013,0.02
Govisumber,2014,2.16
Govisumber,2015,0.62
Govisumber,2016,1.93
Govisumber,2017,0.67
Khentii,1998,-0.27
Khentii,1999,-0.02
Khentii,2000,-0.06
Khentii,2001,0
Khentii,2002,0.06
Khentii,2003,-0.18
Khentii,2004,-0.07
Khentii,2005,-0.04
Khentii,2006,-0.04
Khentii,2007,0.68
Khentii,2008,-0.02
Khentii,2009,-0.07
Khentii,2010,-0.01
Khentii,2011,0.23
Khentii,2012,-0.16
Khentii,2013,-0.01
Khentii,2014,0.52
Khentii,2015,0.41
Khentii,2016,0.64
Khentii,2017,0.67
Khovd,1998,-0.12
Khovd,1999,-0.18
Khovd,2000,0.05
Khovd,2001,0.22
Khovd,2002,0.05
Khovd,2003,-0.56
Khovd,2004,-0.12
Khovd,2005,-0.27
Khovd,2006,0.55
Khovd,2007,0.44
Khovd,2008,0.5
Khovd,2009,0.31
Khovd,2010,-0.17
Khovd,2011,-0.21
Khovd,2012,-0.26
Khovd,2013,-0.25
Khovd,2014,0.18
Khovd,2015,0.04
Khovd,2016,0.29
Khovd,2017,1.28
Khuvsgul,1998,-0.09
Khuvsgul,1999,0.19
Khuvsgul,2000,0.29
Khuvsgul,2001,-0.23
Khuvsgul,2002,0.27
Khuvsgul,2003,-0.09
Khuvsgul,2004,-0.17
Khuvsgul,2005,-0.21
Khuvsgul,2006,-0.09
Khuvsgul,2007,0.03
Khuvsgul,2008,0.18
Khuvsgul,2009,0.06
Khuvsgul,2010,-0.2
Khuvsgul,2011,0.02
Khuvsgul,2012,0.1
Khuvsgul,2013,-0.06
Khuvsgul,2014,0.24
Khuvsgul,2015,0.28
Khuvsgul,2016,0.25
Khuvsgul,2017,0.6
Orkhon,1998,-0.34
Orkhon,1999,-0.02
Orkhon,2000,-0.11
Orkhon,2001,0.22
Orkhon,2002,1.44
Orkhon,2003,-0.31
Orkhon,2004,-0.27
Orkhon,2005,-0.01
Orkhon,2006,-0.13
Orkhon,2007,-0.02
Orkhon,2008,0.2
Orkhon,2009,0.21
Orkhon,2010,-0.28
Orkhon,2011,-0.15
Orkhon,2012,-0.2
Orkhon,2013,-0.23
Orkhon,2014,-0.24
Orkhon,2015,-0.31
Orkhon,2016,-0.19
Orkhon,2017,-0.03
Selenge,1998,-0.3
Selenge,1999,-0.26
Selenge,2000,-0.19
Selenge,2001,-0.17
Selenge,2002,0.49
Selenge,2003,-0.3
Selenge,2004,-0.2
Selenge,2005,-0.22
Selenge,2006,-0.28
Selenge,2007,-0.06
Selenge,2008,0.3
Selenge,2009,0.38
Selenge,2010,0.08
Selenge,2011,0.4
Selenge,2012,0.15
Selenge,2013,0.18
Selenge,2014,0.59
Selenge,2015,0.49
Selenge,2016,0.62
Selenge,2017,0.81
Sukhbaatar,1998,-0.57
Sukhbaatar,1999,0.01
Sukhbaatar,2000,-0.26
Sukhbaatar,2001,0.42
Sukhbaatar,2002,0.05
Sukhbaatar,2003,0.02
Sukhbaatar,2004,0.32
Sukhbaatar,2005,0.21
Sukhbaatar,2006,-0.15
Sukhbaatar,2007,0.88
Sukhbaatar,2008,-0.38
Sukhbaatar,2009,0.05
Sukhbaatar,2010,0.29
Sukhbaatar,2011,-0.23
Sukhbaatar,2012,-0.44
Sukhbaatar,2013,-0.22
Sukhbaatar,2014,0.6
Sukhbaatar,2015,0.37
Sukhbaatar,2016,1.05
Sukhbaatar,2017,0.35
Tuv,1998,-0.13
Tuv,1999,0.19
Tuv,2000,-0.1
Tuv,2001,-0.08
Tuv,2002,0.67
Tuv,2003,-0.38
Tuv,2004,-0.15
Tuv,2005,-0.24
Tuv,2006,-0.17
Tuv,2007,0.09
Tuv,2008,0.06
Tuv,2009,0.24
Tuv,2010,-0.08
Tuv,2011,0.11
Tuv,2012,-0.08
Tuv,2013,0.06
Tuv,2014,0.84
Tuv,2015,0.58
Tuv,2016,0.91
Tuv,2017,0.65
Ulaanbaatar,1998,-0.16
Ulaanbaatar,1999,-0.19
Ulaanbaatar,2000,-0.24
Ulaanbaatar,2001,-0.17
Ulaanbaatar,2002,0.68
Ulaanbaatar,2003,-0.17
Ulaanbaatar,2004,0.01
Ulaanbaatar,2005,-0.27
Ulaanbaatar,2006,-0.11
Ulaanbaatar,2007,-0.01
Ulaanbaatar,2008,0.01
Ulaanbaatar,2009,0.36
Ulaanbaatar,2010,-0.05
Ulaanbaatar,2011,0.51
Ulaanbaatar,2012,-0.15
Ulaanbaatar,2013,-0.05
Ulaanbaatar,2014,0.23
Ulaanbaatar,2015,0.22
Ulaanbaatar,2016,0.56
Ulaanbaatar,2017,0.51
Umnugovi,1998,-0.1
Umnugovi,1999,0.34
Umnugovi,2000,0.09
Umnugovi,2001,0.83
Umnugovi,2002,0.19
Umnugovi,2003,-0.68
Umnugovi,2004,-0.22
Umnugovi,2005,0.32
Umnugovi,2006,-0.43
Umnugovi,2007,-0.5
Umnugovi,2008,-0.12
Umnugovi,2009,1.25
Umnugovi,2010,-0.27
Umnugovi,2011,-0.24
Umnugovi,2012,-0.47
Umnugovi,2013,0.03
Umnugovi,2014,0.26
Umnugovi,2015,0.72
Umnugovi,2016,0.17
Umnugovi,2017,1.05
Uvs,1998,-0.07
Uvs,1999,-0.13
Uvs,2000,-0.22
Uvs,2001,-0.06
Uvs,2002,0.32
Uvs,2003,-0.55
Uvs,2004,-0.09
Uvs,2005,-0.32
Uvs,2006,0.2
Uvs,2007,0.89
Uvs,2008,0.47
Uvs,2009,0.45
Uvs,2010,-0.35
Uvs,2011,-0.1
Uvs,2012,-0.24
Uvs,2013,-0.21
Uvs,2014,0.48
Uvs,2015,1.25
Uvs,2016,-0.03
Uvs,2017,1.47
Uvurkhangai,1998,-0.2
Uvurkhangai,1999,0.54
Uvurkhangai,2000,-0.11
Uvurkhangai,2001,-0.18
Uvurkhangai,2002,0.43
Uvurkhangai,2003,-0.48
Uvurkhangai,2004,0.03
Uvurkhangai,2005,-0.03
Uvurkhangai,2006,-0.21
Uvurkhangai,2007,-0.17
Uvurkhangai,2008,0.96
Uvurkhangai,2009,0.9
Uvurkhangai,2010,-0.29
Uvurkhangai,2011,-0.43
Uvurkhangai,2012,-0.46
Uvurkhangai,2013,-0.32
Uvurkhangai,2014,0.48
Uvurkhangai,2015,0.5
Uvurkhangai,2016,0.4
Uvurkhangai,2017,0.76
Zavkhan,1998,0
Zavkhan,1999,0.27
Zavkhan,2000,0.14
Zavkhan,2001,-0.15
Zavkhan,2002,0.38
Zavkhan,2003,-0.47
Zavkhan,2004,-0.11
Zavkhan,2005,-0.29
Zavkhan,2006,0.12
Zavkhan,2007,0.58
Zavkhan,2008,0.42
Zavkhan,2009,0.46
Zavkhan,2010,-0.54
Zavkhan,2011,-0.27
Zavkhan,2012,-0.2
Zavkhan,2013,-0.34
Zavkhan,2014,0.4
Zavkhan,2015,0.25
Zavkhan,2016,-0.09
Zavkhan,2017,1.17
