Aimag,Year,Pasture Use
Arkhangai,1998,0.08
Arkhangai,1999,0.11
Arkhangai,2000,0.12
Arkhangai,2001,0.1
Arkhangai,2002,0.17
Arkhangai,2003,0.08
Arkhangai,2004,0.09
Arkhangai,2005,0.1
Arkhangai,2006,0.09
Arkhangai,2007,0.09
Arkhangai,2008,0.15
Arkhangai,2009,0.15
Arkhangai,2010,0.07
Arkhangai,2011,0.09
Arkhangai,2012,0.09
Arkhangai,2013,0.1
Arkhangai,2014,0.16
Arkhangai,2015,0.14
Arkhangai,2016,0.15
Arkhangai,2017,0.19
Bayankhongor,1998,0.17
Bayankhongor,1999,0.19
Bayankhongor,2000,0.22
Bayankhongor,2001,0.24
Bayankhongor,2002,0.16
Bayankhongor,2003,0.08
Bayankhongor,2004,0.14
Bayankhongor,2005,0.14
Bayankhongor,2006,0.15
Bayankhongor,2007,0.16
Bayankhongor,2008,0.31
Bayankhongor,2009,0.33
Bayankhongor,2010,0.16
Bayankhongor,2011,0.11
Bayankhongor,2012,0.13
Bayankhongor,2013,0.15
Bayankhongor,2014,0.26
Bayankhongor,2015,0.3
Bayankhongor,2016,0.18
Bayankhongor,2017,0.48
Bayan‐Ulgii,1998,0.15
Bayan‐Ulgii,1999,0.17
Bayan‐Ulgii,2000,0.18
Bayan‐Ulgii,2001,0.19
Bayan‐Ulgii,2002,0.24
Bayan‐Ulgii,2003,0.15
Bayan‐Ulgii,2004,0.2
Bayan‐Ulgii,2005,0.11
Bayan‐Ulgii,2006,0.27
Bayan‐Ulgii,2007,0.19
Bayan‐Ulgii,2008,0.26
Bayan‐Ulgii,2009,0.2
Bayan‐Ulgii,2010,0.14
Bayan‐Ulgii,2011,0.17
Bayan‐Ulgii,2012,0.1
Bayan‐Ulgii,2013,0.12
Bayan‐Ulgii,2014,0.22
Bayan‐Ulgii,2015,0.26
Bayan‐Ulgii,2016,0.21
Bayan‐Ulgii,2017,0.32
Bulgan,1998,0.05
Bulgan,1999,0.06
Bulgan,2000,0.07
Bulgan,2001,0.06
Bulgan,2002,0.08
Bulgan,2003,0.04
Bulgan,2004,0.04
Bulgan,2005,0.04
Bulgan,2006,0.05
Bulgan,2007,0.05
Bulgan,2008,0.07
Bulgan,2009,0.07
Bulgan,2010,0.05
Bulgan,2011,0.06
Bulgan,2012,0.06
Bulgan,2013,0.06
Bulgan,2014,0.09
Bulgan,2015,0.08
Bulgan,2016,0.09
Bulgan,2017,0.1
Darkhan‐Uul,1998,0.09
Darkhan‐Uul,1999,0.09
Darkhan‐Uul,2000,0.09
Darkhan‐Uul,2001,0.1
Darkhan‐Uul,2002,0.25
Darkhan‐Uul,2003,0.06
Darkhan‐Uul,2004,0.1
Darkhan‐Uul,2005,0.09
Darkhan‐Uul,2006,0.08
Darkhan‐Uul,2007,0.09
Darkhan‐Uul,2008,0.13
Darkhan‐Uul,2009,0.14
Darkhan‐Uul,2010,0.09
Darkhan‐Uul,2011,0.12
Darkhan‐Uul,2012,0.1
Darkhan‐Uul,2013,0.1
Darkhan‐Uul,2014,0.16
Darkhan‐Uul,2015,0.13
Darkhan‐Uul,2016,0.15
Darkhan‐Uul,2017,0.17
Dornod,1998,0.01
Dornod,1999,0.02
Dornod,2000,0.02
Dornod,2001,0.03
Dornod,2002,0.02
Dornod,2003,0.02
Dornod,2004,0.03
Dornod,2005,0.02
Dornod,2006,0.02
Dornod,2007,0.03
Dornod,2008,0.03
Dornod,2009,0.03
Dornod,2010,0.02
Dornod,2011,0.02
Dornod,2012,0.02
Dornod,2013,0.02
Dornod,2014,0.02
Dornod,2015,0.03
Dornod,2016,0.06
Dornod,2017,0.04
Dornogovi,1998,0.08
Dornogovi,1999,0.27
Dornogovi,2000,0.13
Dornogovi,2001,0.17
Dornogovi,2002,0.2
Dornogovi,2003,0.13
Dornogovi,2004,0.19
Dornogovi,2005,0.35
Dornogovi,2006,0.11
Dornogovi,2007,0.12
Dornogovi,2008,0.1
Dornogovi,2009,0.23
Dornogovi,2010,0.2
Dornogovi,2011,0.15
Dornogovi,2012,0.09
Dornogovi,2013,0.2
Dornogovi,2014,0.44
Dornogovi,2015,0.4
Dornogovi,2016,0.21
Dornogovi,2017,0.25
Dundgovi,1998,0.18
Dundgovi,1999,0.66
Dundgovi,2000,0.12
Dundgovi,2001,0.22
Dundgovi,2002,0.39
Dundgovi,2003,0.14
Dundgovi,2004,0.39
Dundgovi,2005,0.36
Dundgovi,2006,0.26
Dundgovi,2007,0.33
Dundgovi,2008,0.35
Dundgovi,2009,0.41
Dundgovi,2010,0.15
Dundgovi,2011,0.11
Dundgovi,2012,0.09
Dundgovi,2013,0.17
Dundgovi,2014,0.54
Dundgovi,2015,0.41
Dundgovi,2016,0.36
Dundgovi,2017,0.25
Govi‐Altai,1998,0.26
Govi‐Altai,1999,0.28
Govi‐Altai,2000,0.22
Govi‐Altai,2001,0.38
Govi‐Altai,2002,0.15
Govi‐Altai,2003,0.09
Govi‐Altai,2004,0.2
Govi‐Altai,2005,0.21
Govi‐Altai,2006,0.32
Govi‐Altai,2007,0.4
Govi‐Altai,2008,0.38
Govi‐Altai,2009,0.46
Govi‐Altai,2010,0.14
Govi‐Altai,2011,0.14
Govi‐Altai,2012,0.18
Govi‐Altai,2013,0.19
Govi‐Altai,2014,0.27
Govi‐Altai,2015,0.25
Govi‐Altai,2016,0.25
Govi‐Altai,2017,0.73
Govisumber,1998,0.06
Govisumber,1999,0.2
Govisumber,2000,0.07
Govisumber,2001,0.07
Govisumber,2002,0.16
Govisumber,2003,0.09
Govisumber,2004,0.14
Govisumber,2005,0.22
Govisumber,2006,0.16
Govisumber,2007,0.26
Govisumber,2008,0.19
Govisumber,2009,0.12
Govisumber,2010,0.19
Govisumber,2011,0.1
Govisumber,2012,0.1
Govisumber,2013,0.14
Govisumber,2014,0.45
Govisumber,2015,0.23
Govisumber,2016,0.41
Govisumber,2017,0.24
Khentii,1998,0.03
Khentii,1999,0.05
Khentii,2000,0.04
Khentii,2001,0.05
Khentii,2002,0.05
Khentii,2003,0.04
Khentii,2004,0.04
Khentii,2005,0.05
Khentii,2006,0.05
Khentii,2007,0.08
Khentii,2008,0.05
Khentii,2009,0.04
Khentii,2010,0.05
Khentii,2011,0.06
Khentii,2012,0.04
Khentii,2013,0.05
Khentii,2014,0.07
Khentii,2015,0.07
Khentii,2016,0.08
Khentii,2017,0.08
Khovd,1998,0.23
Khovd,1999,0.22
Khovd,2000,0.28
Khovd,2001,0.33
Khovd,2002,0.28
Khovd,2003,0.12
Khovd,2004,0.23
Khovd,2005,0.2
Khovd,2006,0.41
Khovd,2007,0.38
Khovd,2008,0.4
Khovd,2009,0.35
Khovd,2010,0.22
Khovd,2011,0.21
Khovd,2012,0.2
Khovd,2013,0.2
Khovd,2014,0.31
Khovd,2015,0.28
Khovd,2016,0.34
Khovd,2017,0.61
Khuvsgul,1998,0.04
Khuvsgul,1999,0.06
Khuvsgul,2000,0.06
Khuvsgul,2001,0.04
Khuvsgul,2002,0.06
Khuvsgul,2003,0.04
Khuvsgul,2004,0.04
Khuvsgul,2005,0.04
Khuvsgul,2006,0.04
Khuvsgul,2007,0.05
Khuvsgul,2008,0.06
Khuvsgul,2009,0.05
Khuvsgul,2010,0.04
Khuvsgul,2011,0.05
Khuvsgul,2012,0.05
Khuvsgul,2013,0.04
Khuvsgul,2014,0.06
Khuvsgul,2015,0.06
Khuvsgul,2016,0.06
Khuvsgul,2017,0.08
Orkhon,1998,0.24
Orkhon,1999,0.35
Orkhon,2000,0.32
Orkhon,2001,0.43
Orkhon,2002,0.87
Orkhon,2003,0.24
Orkhon,2004,0.26
Orkhon,2005,0.35
Orkhon,2006,0.31
Orkhon,2007,0.35
Orkhon,2008,0.43
Orkhon,2009,0.43
Orkhon,2010,0.26
Orkhon,2011,0.3
Orkhon,2012,0.29
Orkhon,2013,0.27
Orkhon,2014,0.27
Orkhon,2015,0.25
Orkhon,2016,0.29
Orkhon,2017,0.35
Selenge,1998,0.02
Selenge,1999,0.02
Selenge,2000,0.02
Selenge,2001,0.02
Selenge,2002,0.04
Selenge,2003,0.02
Selenge,2004,0.02
Selenge,2005,0.02
Selenge,2006,0.02
Selenge,2007,0.03
Selenge,2008,0.04
Selenge,2009,0.04
Selenge,2010,0.03
Selenge,2011,0.04
Selenge,2012,0.03
Selenge,2013,0.03
Selenge,2014,0.05
Selenge,2015,0.04
Selenge,2016,0.05
Selenge,2017,0.05
Sukhbaatar,1998,0.03
Sukhbaatar,1999,0.08
Sukhbaatar,2000,0.06
Sukhbaatar,2001,0.11
Sukhbaatar,2002,0.08
Sukhbaatar,2003,0.08
Sukhbaatar,2004,0.1
Sukhbaatar,2005,0.1
Sukhbaatar,2006,0.07
Sukhbaatar,2007,0.15
Sukhbaatar,2008,0.05
Sukhbaatar,2009,0.08
Sukhbaatar,2010,0.1
Sukhbaatar,2011,0.06
Sukhbaatar,2012,0.04
Sukhbaatar,2013,0.06
Sukhbaatar,2014,0.13
Sukhbaatar,2015,0.11
Sukhbaatar,2016,0.16
Sukhbaatar,2017,0.11
Tuv,1998,0.06
Tuv,1999,0.08
Tuv,2000,0.06
Tuv,2001,0.06
Tuv,2002,0.12
Tuv,2003,0.04
Tuv,2004,0.06
Tuv,2005,0.05
Tuv,2006,0.06
Tuv,2007,0.08
Tuv,2008,0.07
Tuv,2009,0.09
Tuv,2010,0.06
Tuv,2011,0.08
Tuv,2012,0.06
Tuv,2013,0.07
Tuv,2014,0.13
Tuv,2015,0.11
Tuv,2016,0.13
Tuv,2017,0.12
Ulaanbaatar,1998,0.15
Ulaanbaatar,1999,0.14
Ulaanbaatar,2000,0.13
Ulaanbaatar,2001,0.14
Ulaanbaatar,2002,0.29
Ulaanbaatar,2003,0.14
Ulaanbaatar,2004,0.17
Ulaanbaatar,2005,0.13
Ulaanbaatar,2006,0.15
Ulaanbaatar,2007,0.17
Ulaanbaatar,2008,0.17
Ulaanbaatar,2009,0.24
Ulaanbaatar,2010,0.16
Ulaanbaatar,2011,0.26
Ulaanbaatar,2012,0.15
Ulaanbaatar,2013,0.16
Ulaanbaatar,2014,0.21
Ulaanbaatar,2015,0.21
Ulaanbaatar,2016,0.27
Ulaanbaatar,2017,0.26
Umnugovi,1998,0.25
Umnugovi,1999,0.37
Umnugovi,2000,0.3
Umnugovi,2001,0.5
Umnugovi,2002,0.33
Umnugovi,2003,0.09
Umnugovi,2004,0.22
Umnugovi,2005,0.36
Umnugovi,2006,0.16
Umnugovi,2007,0.14
Umnugovi,2008,0.24
Umnugovi,2009,0.62
Umnugovi,2010,0.2
Umnugovi,2011,0.21
Umnugovi,2012,0.15
Umnugovi,2013,0.29
Umnugovi,2014,0.35
Umnugovi,2015,0.48
Umnugovi,2016,0.32
Umnugovi,2017,0.57
Uvs,1998,0.15
Uvs,1999,0.14
Uvs,2000,0.12
Uvs,2001,0.15
Uvs,2002,0.21
Uvs,2003,0.07
Uvs,2004,0.14
Uvs,2005,0.11
Uvs,2006,0.19
Uvs,2007,0.3
Uvs,2008,0.23
Uvs,2009,0.23
Uvs,2010,0.1
Uvs,2011,0.14
Uvs,2012,0.12
Uvs,2013,0.12
Uvs,2014,0.23
Uvs,2015,0.35
Uvs,2016,0.15
Uvs,2017,0.39
Uvurkhangai,1998,0.17
Uvurkhangai,1999,0.32
Uvurkhangai,2000,0.19
Uvurkhangai,2001,0.17
Uvurkhangai,2002,0.3
Uvurkhangai,2003,0.11
Uvurkhangai,2004,0.22
Uvurkhangai,2005,0.2
Uvurkhangai,2006,0.17
Uvurkhangai,2007,0.17
Uvurkhangai,2008,0.41
Uvurkhangai,2009,0.4
Uvurkhangai,2010,0.15
Uvurkhangai,2011,0.12
Uvurkhangai,2012,0.11
Uvurkhangai,2013,0.14
Uvurkhangai,2014,0.31
Uvurkhangai,2015,0.31
Uvurkhangai,2016,0.29
Uvurkhangai,2017,0.37
Zavkhan,1998,0.1
Zavkhan,1999,0.13
Zavkhan,2000,0.11
Zavkhan,2001,0.09
Zavkhan,2002,0.14
Zavkhan,2003,0.05
Zavkhan,2004,0.09
Zavkhan,2005,0.07
Zavkhan,2006,0.11
Zavkhan,2007,0.16
Zavkhan,2008,0.14
Zavkhan,2009,0.15
Zavkhan,2010,0.05
Zavkhan,2011,0.07
Zavkhan,2012,0.08
