Aimag,Year,Standing forage biomass anomaly
Arkhangai,1998,0.34
Arkhangai,1999,0.05
Arkhangai,2000,-0.13
Arkhangai,2001,-0.22
Arkhangai,2002,-0.57
Arkhangai,2003,-0.07
Arkhangai,2004,-0.14
Arkhangai,2005,-0.2
Arkhangai,2006,0.03
Arkhangai,2007,0.13
Arkhangai,2008,-0.2
Arkhangai,2009,-0.17
Arkhangai,2010,0.28
Arkhangai,2011,0.2
Arkhangai,2012,0.31
Arkhangai,2013,0.36
Arkhangai,2014,-0.07
Arkhangai,2015,0.13
Arkhangai,2016,0.2
Arkhangai,2017,0.02
Bayankhongor,1998,0.3
Bayankhongor,1999,0.18
Bayankhongor,2000,-0.06
Bayankhongor,2001,-0.45
Bayankhongor,2002,-0.48
Bayankhongor,2003,0.17
Bayankhongor,2004,-0.21
Bayankhongor,2005,-0.08
Bayankhongor,2006,-0.02
Bayankhongor,2007,0.06
Bayankhongor,2008,-0.4
Bayankhongor,2009,-0.43
Bayankhongor,2010,-0.11
Bayankhongor,2011,0.56
Bayankhongor,2012,0.53
Bayankhongor,2013,0.43
Bayankhongor,2014,-0.03
Bayankhongor,2015,-0.07
Bayankhongor,2016,0.7
Bayankhongor,2017,-0.29
Bayan‐Ulgii,1998,0.23
Bayan‐Ulgii,1999,0.09
Bayan‐Ulgii,2000,-0.05
Bayan‐Ulgii,2001,-0.13
Bayan‐Ulgii,2002,-0.37
Bayan‐Ulgii,2003,0.06
Bayan‐Ulgii,2004,-0.2
Bayan‐Ulgii,2005,0.39
Bayan‐Ulgii,2006,-0.35
Bayan‐Ulgii,2007,-0.03
Bayan‐Ulgii,2008,-0.35
Bayan‐Ulgii,2009,-0.25
Bayan‐Ulgii,2010,-0.1
Bayan‐Ulgii,2011,-0.12
Bayan‐Ulgii,2012,0.58
Bayan‐Ulgii,2013,0.61
Bayan‐Ulgii,2014,0.01
Bayan‐Ulgii,2015,-0.06
Bayan‐Ulgii,2016,0.26
Bayan‐Ulgii,2017,-0.16
Bulgan,1998,0.26
Bulgan,1999,-0.02
Bulgan,2000,-0.13
Bulgan,2001,-0.16
Bulgan,2002,-0.39
Bulgan,2003,-0.09
Bulgan,2004,-0.09
Bulgan,2005,-0.01
Bulgan,2006,0.03
Bulgan,2007,0.04
Bulgan,2008,-0.1
Bulgan,2009,0
Bulgan,2010,0.19
Bulgan,2011,0.08
Bulgan,2012,0.17
Bulgan,2013,0.21
Bulgan,2014,0.01
Bulgan,2015,0.13
Bulgan,2016,0.14
Bulgan,2017,0
Darkhan‐Uul,1998,0.06
Darkhan‐Uul,1999,0.13
Darkhan‐Uul,2000,0.17
Darkhan‐Uul,2001,-0.03
Darkhan‐Uul,2002,-0.67
Darkhan‐Uul,2003,0.04
Darkhan‐Uul,2004,-0.35
Darkhan‐Uul,2005,-0.27
Darkhan‐Uul,2006,0.01
Darkhan‐Uul,2007,0.09
Darkhan‐Uul,2008,0.08
Darkhan‐Uul,2009,0.05
Darkhan‐Uul,2010,0.25
Darkhan‐Uul,2011,-0.04
Darkhan‐Uul,2012,0.24
Darkhan‐Uul,2013,0.26
Darkhan‐Uul,2014,-0.06
Darkhan‐Uul,2015,0.09
Darkhan‐Uul,2016,0.08
Darkhan‐Uul,2017,-0.06
Dornod,1998,0.5
Dornod,1999,-0.09
Dornod,2000,0.02
Dornod,2001,-0.35
Dornod,2002,-0.13
Dornod,2003,0.02
Dornod,2004,-0.47
Dornod,2005,-0.15
Dornod,2006,0.13
Dornod,2007,-0.26
Dornod,2008,-0.08
Dornod,2009,-0.15
Dornod,2010,0.03
Dornod,2011,0.13
Dornod,2012,0.34
Dornod,2013,0.51
Dornod,2014,0.07
Dornod,2015,0.17
Dornod,2016,-0.41
Dornod,2017,0.09
Dornogovi,1998,1.16
Dornogovi,1999,-0.3
Dornogovi,2000,0.35
Dornogovi,2001,-0.24
Dornogovi,2002,-0.41
Dornogovi,2003,0.04
Dornogovi,2004,-0.25
Dornogovi,2005,-0.62
Dornogovi,2006,-0.12
Dornogovi,2007,-0.08
Dornogovi,2008,0.15
Dornogovi,2009,-0.4
Dornogovi,2010,-0.31
Dornogovi,2011,0.05
Dornogovi,2012,0.98
Dornogovi,2013,0
Dornogovi,2014,-0.5
Dornogovi,2015,-0.41
Dornogovi,2016,0.04
Dornogovi,2017,0.01
Dundgovi,1998,0.94
Dundgovi,1999,-0.5
Dundgovi,2000,0.45
Dundgovi,2001,-0.16
Dundgovi,2002,-0.52
Dundgovi,2003,0.43
Dundgovi,2004,-0.44
Dundgovi,2005,-0.38
Dundgovi,2006,-0.13
Dundgovi,2007,-0.28
Dundgovi,2008,-0.38
Dundgovi,2009,-0.45
Dundgovi,2010,-0.17
Dundgovi,2011,0.37
Dundgovi,2012,0.91
Dundgovi,2013,0.31
Dundgovi,2014,-0.51
Dundgovi,2015,-0.25
Dundgovi,2016,-0.07
Dundgovi,2017,0.58
Govi‐Altai,1998,0.11
Govi‐Altai,1999,0.04
Govi‐Altai,2000,0.2
Govi‐Altai,2001,-0.42
Govi‐Altai,2002,-0.21
Govi‐Altai,2003,0.6
Govi‐Altai,2004,-0.11
Govi‐Altai,2005,0.02
Govi‐Altai,2006,-0.22
Govi‐Altai,2007,-0.29
Govi‐Altai,2008,-0.25
Govi‐Altai,2009,-0.46
Govi‐Altai,2010,0.07
Govi‐Altai,2011,0.35
Govi‐Altai,2012,0.22
Govi‐Altai,2013,0.35
Govi‐Altai,2014,0.12
Govi‐Altai,2015,0.38
Govi‐Altai,2016,0.61
Govi‐Altai,2017,-0.39
Govisumber,1998,1.41
Govisumber,1999,-0.24
Govisumber,2000,0.63
Govisumber,2001,-0.22
Govisumber,2002,-0.57
Govisumber,2003,0
Govisumber,2004,-0.21
Govisumber,2005,-0.44
Govisumber,2006,-0.15
Govisumber,2007,-0.47
Govisumber,2008,-0.38
Govisumber,2009,-0.06
Govisumber,2010,-0.45
Govisumber,2011,0.33
Govisumber,2012,0.51
Govisumber,2013,0.32
Govisumber,2014,-0.47
Govisumber,2015,0.19
Govisumber,2016,-0.3
Govisumber,2017,0.36
Khentii,1998,0.28
Khentii,1999,0.01
Khentii,2000,0.03
Khentii,2001,-0.18
Khentii,2002,-0.24
Khentii,2003,0.01
Khentii,2004,-0.1
Khentii,2005,-0.07
Khentii,2006,0.01
Khentii,2007,-0.37
Khentii,2008,-0.01
Khentii,2009,0.07
Khentii,2010,-0.01
Khentii,2011,-0.13
Khentii,2012,0.39
Khentii,2013,0.31
Khentii,2014,-0.02
Khentii,2015,0.16
Khentii,2016,0.1
Khentii,2017,0.22
Khovd,1998,0.14
Khovd,1999,0.27
Khovd,2000,-0.06
Khovd,2001,-0.36
Khovd,2002,-0.38
Khovd,2003,0.64
Khovd,2004,-0.06
Khovd,2005,0.23
Khovd,2006,-0.33
Khovd,2007,-0.2
Khovd,2008,-0.26
Khovd,2009,-0.23
Khovd,2010,-0.08
Khovd,2011,0.03
Khovd,2012,0.28
Khovd,2013,0.38
Khovd,2014,0.03
Khovd,2015,0.3
Khovd,2016,0.19
Khovd,2017,-0.28
Khuvsgul,1998,0.21
Khuvsgul,1999,-0.03
Khuvsgul,2000,-0.19
Khuvsgul,2001,-0.07
Khuvsgul,2002,-0.42
Khuvsgul,2003,-0.16
Khuvsgul,2004,-0.04
Khuvsgul,2005,0.06
Khuvsgul,2006,0.04
Khuvsgul,2007,0.03
Khuvsgul,2008,-0.02
Khuvsgul,2009,0.12
Khuvsgul,2010,0.24
Khuvsgul,2011,0.02
Khuvsgul,2012,0.01
Khuvsgul,2013,0.19
Khuvsgul,2014,0.02
Khuvsgul,2015,0.06
Khuvsgul,2016,0.24
Khuvsgul,2017,0.02
Orkhon,1998,0.33
Orkhon,1999,0.08
Orkhon,2000,0.15
Orkhon,2001,-0.2
Orkhon,2002,-0.62
Orkhon,2003,-0.14
Orkhon,2004,-0.13
Orkhon,2005,-0.3
Orkhon,2006,-0.03
Orkhon,2007,0.02
Orkhon,2008,0.01
Orkhon,2009,-0.01
Orkhon,2010,0.23
Orkhon,2011,0.09
Orkhon,2012,0.23
Orkhon,2013,0.29
Orkhon,2014,-0.02
Orkhon,2015,0.09
Orkhon,2016,0.06
Orkhon,2017,-0.13
Selenge,1998,0.07
Selenge,1999,0.08
Selenge,2000,0.01
Selenge,2001,-0.05
Selenge,2002,-0.47
Selenge,2003,-0.05
Selenge,2004,-0.21
Selenge,2005,-0.14
Selenge,2006,0.08
Selenge,2007,0.06
Selenge,2008,0.03
Selenge,2009,0.05
Selenge,2010,0.19
Selenge,2011,-0.05
Selenge,2012,0.2
Selenge,2013,0.21
Selenge,2014,0.01
Selenge,2015,0.11
Selenge,2016,0.12
Selenge,2017,-0.03
Sukhbaatar,1998,0.9
Sukhbaatar,1999,-0.1
Sukhbaatar,2000,0.26
Sukhbaatar,2001,-0.43
Sukhbaatar,2002,-0.2
Sukhbaatar,2003,-0.14
Sukhbaatar,2004,-0.36
Sukhbaatar,2005,-0.34
Sukhbaatar,2006,-0.03
Sukhbaatar,2007,-0.56
Sukhbaatar,2008,0.09
Sukhbaatar,2009,-0.26
Sukhbaatar,2010,-0.33
Sukhbaatar,2011,0.21
Sukhbaatar,2012,0.84
Sukhbaatar,2013,0.45
Sukhbaatar,2014,-0.2
Sukhbaatar,2015,0.02
Sukhbaatar,2016,-0.31
Sukhbaatar,2017,0.2
Tuv,1998,0.34
Tuv,1999,-0.05
Tuv,2000,0.06
Tuv,2001,-0.2
Tuv,2002,-0.58
Tuv,2003,0
Tuv,2004,-0.24
Tuv,2005,-0.05
Tuv,2006,0.03
Tuv,2007,-0.08
Tuv,2008,0.03
Tuv,2009,0
Tuv,2010,0.1
Tuv,2011,0
Tuv,2012,0.33
Tuv,2013,0.3
Tuv,2014,-0.12
Tuv,2015,0.11
Tuv,2016,-0.04
Tuv,2017,0.1
Ulaanbaatar,1998,0.22
Ulaanbaatar,1999,0.1
Ulaanbaatar,2000,0.1
Ulaanbaatar,2001,-0.06
Ulaanbaatar,2002,-0.53
Ulaanbaatar,2003,-0.03
Ulaanbaatar,2004,-0.22
Ulaanbaatar,2005,0.16
Ulaanbaatar,2006,0.13
Ulaanbaatar,2007,0.04
Ulaanbaatar,2008,0.1
Ulaanbaatar,2009,-0.14
Ulaanbaatar,2010,-0.01
Ulaanbaatar,2011,-0.35
Ulaanbaatar,2012,0.28
Ulaanbaatar,2013,0.24
Ulaanbaatar,2014,0.11
Ulaanbaatar,2015,0.22
Ulaanbaatar,2016,0.05
Ulaanbaatar,2017,0.05
Umnugovi,1998,0.29
Umnugovi,1999,-0.12
Umnugovi,2000,-0.05
Umnugovi,2001,-0.56
Umnugovi,2002,-0.5
Umnugovi,2003,0.81
Umnugovi,2004,-0.17
Umnugovi,2005,-0.49
Umnugovi,2006,0.21
Umnugovi,2007,0.62
Umnugovi,2008,0.07
Umnugovi,2009,-0.56
Umnugovi,2010,-0.12
Umnugovi,2011,-0.02
Umnugovi,2012,0.62
Umnugovi,2013,-0.04
Umnugovi,2014,-0.13
Umnugovi,2015,-0.29
Umnugovi,2016,0.17
Umnugovi,2017,-0.24
Uvs,1998,0.19
Uvs,1999,0.21
Uvs,2000,0
Uvs,2001,-0.21
Uvs,2002,-0.48
Uvs,2003,0.66
Uvs,2004,-0.04
Uvs,2005,0.32
Uvs,2006,-0.13
Uvs,2007,-0.39
Uvs,2008,-0.27
Uvs,2009,-0.32
Uvs,2010,0.12
Uvs,2011,-0.1
Uvs,2012,0.18
Uvs,2013,0.25
Uvs,2014,-0.22
Uvs,2015,-0.45
Uvs,2016,0.31
Uvs,2017,-0.42
Uvurkhangai,1998,0.54
Uvurkhangai,1999,-0.18
Uvurkhangai,2000,-0.06
Uvurkhangai,2001,-0.2
Uvurkhangai,2002,-0.61
Uvurkhangai,2003,0.2
Uvurkhangai,2004,-0.33
Uvurkhangai,2005,-0.25
Uvurkhangai,2006,0.04
Uvurkhangai,2007,0.19
Uvurkhangai,2008,-0.47
Uvurkhangai,2009,-0.42
Uvurkhangai,2010,-0.12
Uvurkhangai,2011,0.32
Uvurkhangai,2012,0.73
Uvurkhangai,2013,0.62
Uvurkhangai,2014,-0.11
Uvurkhangai,2015,-0.02
Uvurkhangai,2016,0.22
Uvurkhangai,2017,0.08
Zavkhan,1998,0.36
Zavkhan,1999,0.01
Zavkhan,2000,-0.19
Zavkhan,2001,-0.23
Zavkhan,2002,-0.55
Zavkhan,2003,0.27
Zavkhan,2004,-0.15
Zavkhan,2005,0.16
Zavkhan,2006,-0.12
Zavkhan,2007,-0.27
Zavkhan,2008,-0.17
Zavkhan,2009,-0.26
Zavkhan,2010,0.46
Zavkhan,2011,0.06
Zavkhan,2012,0.11
Zavkhan,2013,0.51
Zavkhan,2014,-0.18
Zavkhan,2015,0
Zavkhan,2016,0.5
Zavkhan,2017,-0.32
