Aimag,Year,Standing forage biomass (tons)
Arkhangai,1998,3.78E+ 07
Arkhangai,1999,2.96E+ 07
Arkhangai,2000,2.44E+ 07
Arkhangai,2001,2.20E+ 07
Arkhangai,2002,1.22E+ 07
Arkhangai,2003,2.61E+ 07
Arkhangai,2004,2.43E+ 07
Arkhangai,2005,2.25E+ 07
Arkhangai,2006,2.89E+ 07
Arkhangai,2007,3.19E+ 07
Arkhangai,2008,2.24E+ 07
Arkhangai,2009,2.33E+ 07
Arkhangai,2010,3.61E+ 07
Arkhangai,2011,3.38E+ 07
Arkhangai,2012,3.69E+ 07
Arkhangai,2013,3.82E+ 07
Arkhangai,2014,2.62E+ 07
Arkhangai,2015,3.17E+ 07
Arkhangai,2016,3.37E+ 07
Arkhangai,2017,2.87E+ 07
Bayankhongor,1998,1.32E+ 07
Bayankhongor,1999,1.20E+ 07
Bayankhongor,2000,9.58E+ 06
Bayankhongor,2001,5.61E+ 06
Bayankhongor,2002,5.27E+ 06
Bayankhongor,2003,1.19E+ 07
Bayankhongor,2004,8.07E+ 06
Bayankhongor,2005,9.30E+ 06
Bayankhongor,2006,9.92E+ 06
Bayankhongor,2007,1.08E+ 07
Bayankhongor,2008,6.14E+ 06
Bayankhongor,2009,5.83E+ 06
Bayankhongor,2010,9.08E+ 06
Bayankhongor,2011,1.58E+ 07
Bayankhongor,2012,1.55E+ 07
Bayankhongor,2013,1.46E+ 07
Bayankhongor,2014,9.83E+ 06
Bayankhongor,2015,9.50E+ 06
Bayankhongor,2016,1.72E+ 07
Bayankhongor,2017,7.23E+ 06
Bayan‐Ulgii,1998,8.16E+ 06
Bayan‐Ulgii,1999,7.22E+ 06
Bayan‐Ulgii,2000,6.30E+ 06
Bayan‐Ulgii,2001,5.76E+ 06
Bayan‐Ulgii,2002,4.19E+ 06
Bayan‐Ulgii,2003,7.01E+ 06
Bayan‐Ulgii,2004,5.33E+ 06
Bayan‐Ulgii,2005,9.24E+ 06
Bayan‐Ulgii,2006,4.29E+ 06
Bayan‐Ulgii,2007,6.48E+ 06
Bayan‐Ulgii,2008,4.32E+ 06
Bayan‐Ulgii,2009,4.96E+ 06
Bayan‐Ulgii,2010,6.01E+ 06
Bayan‐Ulgii,2011,5.85E+ 06
Bayan‐Ulgii,2012,1.05E+ 07
Bayan‐Ulgii,2013,1.07E+ 07
Bayan‐Ulgii,2014,6.70E+ 06
Bayan‐Ulgii,2015,6.28E+ 06
Bayan‐Ulgii,2016,8.36E+ 06
Bayan‐Ulgii,2017,5.61E+ 06
Bulgan,1998,4.20E+ 07
Bulgan,1999,3.28E+ 07
Bulgan,2000,2.92E+ 07
Bulgan,2001,2.81E+ 07
Bulgan,2002,2.04E+ 07
Bulgan,2003,3.03E+ 07
Bulgan,2004,3.03E+ 07
Bulgan,2005,3.30E+ 07
Bulgan,2006,3.44E+ 07
Bulgan,2007,3.47E+ 07
Bulgan,2008,3.02E+ 07
Bulgan,2009,3.34E+ 07
Bulgan,2010,3.99E+ 07
Bulgan,2011,3.62E+ 07
Bulgan,2012,3.92E+ 07
Bulgan,2013,4.06E+ 07
Bulgan,2014,3.37E+ 07
Bulgan,2015,3.78E+ 07
Bulgan,2016,3.80E+ 07
Bulgan,2017,3.35E+ 07
Darkhan‐Uul,1998,2.25E+ 06
Darkhan‐Uul,1999,2.39E+ 06
Darkhan‐Uul,2000,2.47E+ 06
Darkhan‐Uul,2001,2.04E+ 06
Darkhan‐Uul,2002,7.08E+ 05
Darkhan‐Uul,2003,2.19E+ 06
Darkhan‐Uul,2004,1.36E+ 06
Darkhan‐Uul,2005,1.53E+ 06
Darkhan‐Uul,2006,2.13E+ 06
Darkhan‐Uul,2007,2.30E+ 06
Darkhan‐Uul,2008,2.27E+ 06
Darkhan‐Uul,2009,2.21E+ 06
Darkhan‐Uul,2010,2.64E+ 06
Darkhan‐Uul,2011,2.02E+ 06
Darkhan‐Uul,2012,2.62E+ 06
Darkhan‐Uul,2013,2.65E+ 06
Darkhan‐Uul,2014,1.99E+ 06
Darkhan‐Uul,2015,2.29E+ 06
Darkhan‐Uul,2016,2.28E+ 06
Darkhan‐Uul,2017,1.98E+ 06
Dornod,1998,9.04E+ 07
Dornod,1999,5.50E+ 07
Dornod,2000,6.11E+ 07
Dornod,2001,3.88E+ 07
Dornod,2002,5.21E+ 07
Dornod,2003,6.12E+ 07
Dornod,2004,3.20E+ 07
Dornod,2005,5.14E+ 07
Dornod,2006,6.82E+ 07
Dornod,2007,4.43E+ 07
Dornod,2008,5.54E+ 07
Dornod,2009,5.11E+ 07
Dornod,2010,6.20E+ 07
Dornod,2011,6.81E+ 07
Dornod,2012,8.04E+ 07
Dornod,2013,9.06E+ 07
Dornod,2014,6.45E+ 07
Dornod,2015,7.02E+ 07
Dornod,2016,3.52E+ 07
Dornod,2017,6.53E+ 07
Dornogovi,1998,1.42E+ 07
Dornogovi,1999,4.58E+ 06
Dornogovi,2000,8.90E+ 06
Dornogovi,2001,4.96E+ 06
Dornogovi,2002,3.87E+ 06
Dornogovi,2003,6.81E+ 06
Dornogovi,2004,4.96E+ 06
Dornogovi,2005,2.51E+ 06
Dornogovi,2006,5.82E+ 06
Dornogovi,2007,6.06E+ 06
Dornogovi,2008,7.55E+ 06
Dornogovi,2009,3.96E+ 06
Dornogovi,2010,4.56E+ 06
Dornogovi,2011,6.92E+ 06
Dornogovi,2012,1.30E+ 07
Dornogovi,2013,6.54E+ 06
Dornogovi,2014,3.28E+ 06
Dornogovi,2015,3.85E+ 06
Dornogovi,2016,6.82E+ 06
Dornogovi,2017,6.63E+ 06
Dundgovi,1998,1.23E+ 07
Dundgovi,1999,3.16E+ 06
Dundgovi,2000,9.22E+ 06
Dundgovi,2001,5.31E+ 06
Dundgovi,2002,3.04E+ 06
Dundgovi,2003,9.10E+ 06
Dundgovi,2004,3.57E+ 06
Dundgovi,2005,3.91E+ 06
Dundgovi,2006,5.49E+ 06
Dundgovi,2007,4.59E+ 06
Dundgovi,2008,3.96E+ 06
Dundgovi,2009,3.50E+ 06
Dundgovi,2010,5.26E+ 06
Dundgovi,2011,8.71E+ 06
Dundgovi,2012,1.21E+ 07
Dundgovi,2013,8.32E+ 06
Dundgovi,2014,3.14E+ 06
Dundgovi,2015,4.74E+ 06
Dundgovi,2016,5.93E+ 06
Dundgovi,2017,1.00E+ 07
Govi‐Altai,1998,6.21E+ 06
Govi‐Altai,1999,5.83E+ 06
Govi‐Altai,2000,6.70E+ 06
Govi‐Altai,2001,3.24E+ 06
Govi‐Altai,2002,4.40E+ 06
Govi‐Altai,2003,8.93E+ 06
Govi‐Altai,2004,4.97E+ 06
Govi‐Altai,2005,5.71E+ 06
Govi‐Altai,2006,4.38E+ 06
Govi‐Altai,2007,3.96E+ 06
Govi‐Altai,2008,4.19E+ 06
Govi‐Altai,2009,3.03E+ 06
Govi‐Altai,2010,5.96E+ 06
Govi‐Altai,2011,7.56E+ 06
Govi‐Altai,2012,6.84E+ 06
Govi‐Altai,2013,7.57E+ 06
Govi‐Altai,2014,6.26E+ 06
Govi‐Altai,2015,7.72E+ 06
Govi‐Altai,2016,8.99E+ 06
Govi‐Altai,2017,3.41E+ 06
Govisumber,1998,2.42E+ 06
Govisumber,1999,7.65E+ 05
Govisumber,2000,1.64E+ 06
Govisumber,2001,7.83E+ 05
Govisumber,2002,4.37E+ 05
Govisumber,2003,1.01E+ 06
Govisumber,2004,7.93E+ 05
Govisumber,2005,5.67E+ 05
Govisumber,2006,8.51E+ 05
Govisumber,2007,5.35E+ 05
Govisumber,2008,6.22E+ 05
Govisumber,2009,9.47E+ 05
Govisumber,2010,5.51E+ 05
Govisumber,2011,1.33E+ 06
Govisumber,2012,1.52E+ 06
Govisumber,2013,1.33E+ 06
Govisumber,2014,5.34E+ 05
Govisumber,2015,1.20E+ 06
Govisumber,2016,7.07E+ 05
Govisumber,2017,1.36E+ 06
Khentii,1998,5.28E+ 07
Khentii,1999,4.14E+ 07
Khentii,2000,4.24E+ 07
Khentii,2001,3.39E+ 07
