Aimag,Year,Zootechnical score
Arkhangai,1998,0
Arkhangai,1999,0
Arkhangai,2000,0
Arkhangai,2001,2
Arkhangai,2002,0
Arkhangai,2003,0
Arkhangai,2004,0
Arkhangai,2005,0
Arkhangai,2006,0
Arkhangai,2007,0
Arkhangai,2008,0
Arkhangai,2009,2
Arkhangai,2010,2
Arkhangai,2011,0
Arkhangai,2012,0
Arkhangai,2013,0
Arkhangai,2014,0
Arkhangai,2015,1
Arkhangai,2016,0
Arkhangai,2017,0
Bayankhongor,1998,0
Bayankhongor,1999,1
Bayankhongor,2000,2
Bayankhongor,2001,2
Bayankhongor,2002,2
Bayankhongor,2003,0
Bayankhongor,2004,0
Bayankhongor,2005,0
Bayankhongor,2006,2
Bayankhongor,2007,0
Bayankhongor,2008,0
Bayankhongor,2009,2
Bayankhongor,2010,2
Bayankhongor,2011,0
Bayankhongor,2012,0
Bayankhongor,2013,0
Bayankhongor,2014,0
Bayankhongor,2015,1
Bayankhongor,2016,2
Bayankhongor,2017,0
Bayan‐Ulgii,1998,1
Bayan‐Ulgii,1999,0
Bayan‐Ulgii,2000,0
Bayan‐Ulgii,2001,1
Bayan‐Ulgii,2002,1
Bayan‐Ulgii,2003,0
Bayan‐Ulgii,2004,0
Bayan‐Ulgii,2005,0
Bayan‐Ulgii,2006,0
Bayan‐Ulgii,2007,0
Bayan‐Ulgii,2008,2
Bayan‐Ulgii,2009,2
Bayan‐Ulgii,2010,2
Bayan‐Ulgii,2011,0
Bayan‐Ulgii,2012,0
Bayan‐Ulgii,2013,0
Bayan‐Ulgii,2014,0
Bayan‐Ulgii,2015,0
Bayan‐Ulgii,2016,0
Bayan‐Ulgii,2017,1
Bulgan,1998,0
Bulgan,1999,1
Bulgan,2000,2
Bulgan,2001,2
Bulgan,2002,0
Bulgan,2003,0
Bulgan,2004,0
Bulgan,2005,0
Bulgan,2006,0
Bulgan,2007,0
Bulgan,2008,1
Bulgan,2009,1
Bulgan,2010,2
Bulgan,2011,0
Bulgan,2012,0
Bulgan,2013,0
Bulgan,2014,0
Bulgan,2015,0
Bulgan,2016,0
Bulgan,2017,0
Darkhan‐Uul,1998,0
Darkhan‐Uul,1999,0
Darkhan‐Uul,2000,2
Darkhan‐Uul,2001,2
Darkhan‐Uul,2002,0
Darkhan‐Uul,2003,0
Darkhan‐Uul,2004,0
Darkhan‐Uul,2005,0
Darkhan‐Uul,2006,0
Darkhan‐Uul,2007,0
Darkhan‐Uul,2008,0
Darkhan‐Uul,2009,0
Darkhan‐Uul,2010,2
Darkhan‐Uul,2011,0
Darkhan‐Uul,2012,0
Darkhan‐Uul,2013,1
Darkhan‐Uul,2014,1
Darkhan‐Uul,2015,0
Darkhan‐Uul,2016,0
Darkhan‐Uul,2017,1
Dornod,1998,0
Dornod,1999,1
Dornod,2000,2
Dornod,2001,2
Dornod,2002,0
Dornod,2003,0
Dornod,2004,0
Dornod,2005,0
Dornod,2006,0
Dornod,2007,0
Dornod,2008,0
Dornod,2009,2
Dornod,2010,2
Dornod,2011,0
Dornod,2012,0
Dornod,2013,1
Dornod,2014,0
Dornod,2015,0
Dornod,2016,0
Dornod,2017,1
Dornogovi,1998,0
Dornogovi,1999,0
Dornogovi,2000,0
