Date,USD,cpi,m2,m1,current,capital,financial,reserve,errors,balance
2008-01-31,1171.77,2.0,"2,307",551.9,,,,,,17.6
2008-02-29,1171.82,2.7,"2,417.2",549.2,,,,,,57.3
2008-03-31,1168.17,3.4,"2,454.8",577.7,,,,,,-19.5
2008-04-30,1164.94,5.7,"2,466.3",583.7,,,,,,-93.5
2008-05-31,1161.37,4.3,"2,516.2",620.6,,,,,,-153.40
2008-06-30,1158.12,0.2,"2,564.3",624.9,,,,,,-201.00
2008-07-31,1155.35,0.0,"2,595.2",624,,,,,,-360.10
2008-08-31,1150.91,3.7,"2,576.4",642.2,,,,,,-435.20
2008-09-30,1146.09,0.5,"2,522.3",603.5,,,,,,-466.40
2008-10-31,1144.37,-1.1,"2,355.1",561.3,,,,,,-521.90
2008-11-30,1170.64,-1.0,"2,239.1",548.3,,,,,,-663.40
2008-12-31,1267.51,0.0,"2,267.4",647.3,,,,,,-715.70
2009-01-31,1381.66,0.8,"2,199.4",535.3,28.71826479,11.95064477,27.33853667,4.0384432939999995,-9.291929589,50.9
2009-02-28,1470.17,0.6,"2,313",549.9,-14.62371498,13.34962277,-14.36821339,-25.78312198,-38.87724316,26.5
2009-03-31,1524.07,1.8,"2,350.9",511.4,-105.70782450000002,12.98678477,15.69208903,-3.8633169589999996,104.5498118,-71.5
2009-04-30,1423.86,2.2,"2,340.7",517.9,-14.67708132,15.11989477,32.20913773,15.53923985,47.30556413,-93.4
2009-05-31,1428.37,0.1,"2,403.5",559.1,-29.63397771,14.83568077,-52.77045783,35.27694781,-2.6952130810000003,-101.2
2009-06-30,1435.49,-1.4,"2,438.4",544.4,-16.62978597,14.55618477,-58.02779875,82.01706323,26.06286568,-129.9
2009-07-31,1455.3,-1.3,"2,509.1",521.8,-33.63761962,14.66014433,-86.39527893,9.646607335,-57.77119631,-164.00
2009-08-31,1429.05,-0.6,"2,563.5",597.1,-8.574791114,14.18133033,-162.1526706,140.463997,-27.29521276,-186.30
2009-09-30,1426.01,-0.1,"2,652.4",622.7,-23.23003018,13.82348333,-33.9585394,70.44264611,45.89065355,-190.50
2009-10-31,1424.62,-0.3,"2,669.9",608.8,-53.92237445,11.63757857,-198.5159237,184.2039335,27.97280573,-218.20
2009-11-30,1446.41,1.6,"2,714.1",600.6,-44.2300568,11.64040657,-88.2171532,-1.5610214119999999,-57.18852438,-233.80
2009-12-31,1442.84,0.7,"2,879.4",651.2,-25.63423236,11.75571757,10.83324274,45.10676651,69.81852403,-252.30
2010-01-31,1456.06,2.3,"2,870.4",629.7,-9.406852758,8.353152195,3.094494352,-21.31701594,-17.16882103,31.5
2010-02-28,1447.75,3.0,"2,981.3",627.9,-34.02294126,8.348533645,-26.96750238,-25.62648014,-26.91957491,15.9
2010-03-31,1367.1,2.0,"2,973.9",693,-100.9606551,8.641157112,-107.5519478,10.59508189,-4.637367943,-78.2
2010-04-30,1372.46,2.1,"3,162.4",754.3,-68.53164831,12.00097041,-134.434562,102.5231147,24.6192306,-95.4
2010-05-31,1384.85,3.2,"3,251.6",795.7,9.62097642,8.718952895,-44.06935211,-13.778024800000003,-76.18730623,-69.80
2010-06-30,1368.65,-1.5,"3,521.8",839.6,-2.9276958989999997,11.47253865,12.40277762,73.68154669,77.53948155,-62.10
2010-07-31,1356.29,-2.8,"3,540.9",825.9,-76.89211402,20.55440565,-48.67907933,40.17228636,47.830915399999995,-146.20
2010-08-31,1301.8,0.7,"3,655.6",931.5,-44.58626363,26.78200048,-143.5676108,93.30154517,-32.46180253,-186.20
2010-09-30,1325.59,-0.7,"3,850.2",958.8,-71.49173187,10.49769691,-89.57141237,32.86425199,4.286874582,-240.20
2010-10-31,1285.47,0.4,"3,871.6","1,000.4",-65.09703943,10.12172738,-292.47051650000003,185.1198936,-52.37531085,-258.00
2010-11-30,1246.69,1.5,"3,938.2",995.5,-119.1865693,9.533622778,-101.5436872,48.6827885,56.79204782,-320.50
2010-12-31,1257.18,2.4,"4,678.7","1,157.4",-301.9896015,17.19269071,-695.3869475,346.9000537,-63.68998308,-291.60
2011-01-31,1245.46,3.0,"4,804.2","1,131.4",-279.42555739999995,11.93996505,-456.6343036,33.85662077,-155.2920904,-139.6
