Date,USD
1/2/2008,1169.97
1/3/2008,1169.97
1/4/2008,1169.97
1/7/2008,1169.81
1/8/2008,1170.11
1/9/2008,1170.24
1/10/2008,1170.24
1/11/2008,1170.24
1/14/2008,1170.24
1/15/2008,1170.24
1/16/2008,1170.65
1/17/2008,1170.44
1/18/2008,1171
1/21/2008,1170.84
1/22/2008,1171.16
1/23/2008,1171.06
1/24/2008,1171.3
1/25/2008,1171.3
1/28/2008,1171.69
1/29/2008,1171.59
1/30/2008,1171.73
1/31/2008,1171.77
2/1/2008,1171.76
2/4/2008,1171.83
2/5/2008,1171.77
2/6/2008,1171.79
2/7/2008,1171.84
2/11/2008,1171.7
2/12/2008,1171.66
2/13/2008,1171.39
2/14/2008,1171.49
2/15/2008,1171.36
2/18/2008,1171.37
2/19/2008,1171.46
2/20/2008,1171.56
2/21/2008,1171.54
2/22/2008,1171.56
2/25/2008,1171.73
2/26/2008,1171.74
2/27/2008,1172.06
2/28/2008,1172.03
2/29/2008,1171.82
3/3/2008,1172.17
3/4/2008,1172.15
3/5/2008,1171.99
3/6/2008,1172.31
3/7/2008,1172.23
3/10/2008,1172.34
3/11/2008,1172.01
3/12/2008,1172.39
3/13/2008,1172.2
3/14/2008,1172.4
3/17/2008,1172.37
3/18/2008,1171.51
3/19/2008,1170.63
3/20/2008,1170
3/21/2008,1169.25
3/24/2008,1169
3/25/2008,1168.85
3/26/2008,1168.75
3/27/2008,1168.55
3/28/2008,1168.38
3/31/2008,1168.17
4/1/2008,1168.07
4/2/2008,1168.06
4/3/2008,1167.97
4/4/2008,1167.95
4/7/2008,1167.73
4/8/2008,1167.65
4/9/2008,1167.54
4/10/2008,1167.4
4/11/2008,1167.3
4/14/2008,1167.09
4/15/2008,1167.08
4/16/2008,1166.96
4/17/2008,1166.7
4/18/2008,1166.67
4/21/2008,1165.9
4/22/2008,1165.8
4/23/2008,1165.7
4/24/2008,1165.1
4/25/2008,1165.2
4/28/2008,1165.01
4/29/2008,1164.95
4/30/2008,1164.94
5/1/2008,1164.99
5/2/2008,1164.94
5/5/2008,1164.45
5/6/2008,1164.44
5/7/2008,1164.04
5/8/2008,1164.1
5/9/2008,1163.93
5/12/2008,1163.9
5/13/2008,1163.81
5/14/2008,1163.65
5/15/2008,1163.7
5/16/2008,1163.5
5/19/2008,1163.5
5/20/2008,1162.5
5/21/2008,1162.45
5/22/2008,1162.39
5/23/2008,1162.2
5/26/2008,1162.31
5/27/2008,1162.07
5/28/2008,1161.95
5/29/2008,1161.59
5/30/2008,1161.37
6/2/2008,1161.31
6/3/2008,1161.01
6/4/2008,1160.67
6/5/2008,1160.73
6/6/2008,1160.26
6/9/2008,1159.96
6/10/2008,1159.9
6/11/2008,1159.39
6/12/2008,1159.06
6/13/2008,1158.95
6/16/2008,1158.59
6/17/2008,1158.99
6/18/2008,1158.64
6/19/2008,1158.57
6/20/2008,1158.19
6/23/2008,1158.44
6/24/2008,1158.24
6/25/2008,1158.13
6/26/2008,1158.13
6/27/2008,1158.33
6/30/2008,1158.12
7/1/2008,1157.57
7/2/2008,1157.69
7/3/2008,1157.25
7/4/2008,1157.22
7/7/2008,1157.44
7/8/2008,1157.56
7/9/2008,1157.09
7/10/2008,1157.29
7/14/2008,1157.02
7/15/2008,1157.23
7/16/2008,1157.05
7/17/2008,1157.1
7/18/2008,1156.88
7/21/2008,1156.76
7/22/2008,1156.6
7/23/2008,1156.24
7/24/2008,1156.2
7/25/2008,1155.95
7/28/2008,1155.91
7/29/2008,1155.74
7/30/2008,1155.69
7/31/2008,1155.35
8/1/2008,1155.21
8/4/2008,1154.75
8/5/2008,1154.71
