"Statistical indicator","Administrator unit","2010","2011","2012","2013","2014","2015","2016","2017"
" Of which: Intentional homicide","Zavkhan","2","1","2","2","3","4","1","2"
" Of which: Intentional homicide","Govi-Altai","6","3","1","0","3","1","1","0"
" Of which: Intentional homicide","Bayan-Ulgii","1","4","1","1","3","2","0","1"
" Of which: Intentional homicide","Khovd","1","0","1","4","1","1","1","1"
" Of which: Intentional homicide","Uvs","4","2","1","2","3","3","2","1"
" Of which: Intentional homicide","Orkhon","8","9","10","7","8","4","7","2"
" Of which: Intentional homicide","Uvurkhangai","8","10","10","12","3","2","5","5"
" Of which: Intentional homicide","Bulgan","4","5","6","6","4","4","7","2"
" Of which: Intentional homicide","Bayankhongor","4","2","3","4","6","1","4","3"
" Of which: Intentional homicide","Arkhangai","6","11","4","4","5","6","4","1"
" Of which: Intentional homicide","Khuvsgul","6","12","12","7","8","9","4","8"
" Of which: Intentional homicide","Tuv","10","13","9","8","10","8","7","2"
" Of which: Intentional homicide","Govisumber","1","1","2","2","","","2","1"
" Of which: Intentional homicide","Selenge","7","8","16","6","7","16","5","10"
" Of which: Intentional homicide","Dornogovi","7","3","9","7","9","8","4","5"
" Of which: Intentional homicide","Darkhan-Uul","14","8","4","5","8","7","5","5"
" Of which: Intentional homicide","Umnugovi","4","15","5","1","2","2","6","6"
" Of which: Intentional homicide","Dundgovi","0","2","1","3","","1","4","3"
" Of which: Intentional homicide","Dornod","4","6","4","5","6","6","6","6"
" Of which: Intentional homicide","Sukhbaatar","4","3","2","7","3","1","4","2"
" Of which: Intentional homicide","Khentii","10","3","8","6","5","5","4","5"
" Of which: Intentional homicide","Ulaanbaatar","119","140","120","104","114","113","91","118"
"Other acts of assisting or instigating suicide1","Zavkhan","13","9","7","7","4","","0","2"
"Other acts of assisting or instigating suicide1","Govi-Altai","0","2","2","2","0","2","0","0"
"Other acts of assisting or instigating suicide1","Bayan-Ulgii","14","1","3","5","2","2","0","0"
"Other acts of assisting or instigating suicide1","Khovd","1","8","0","4","2","1","1","7"
"Other acts of assisting or instigating suicide1","Uvs","4","1","3","0","1","1","1","0"
"Other acts of assisting or instigating suicide1","Orkhon","8","6","9","2","1","5","3","5"
"Other acts of assisting or instigating suicide1","Uvurkhangai","4","4","7","3","11","","4","7"
"Other acts of assisting or instigating suicide1","Bulgan","17","0","3","3","6","4","6","5"
"Other acts of assisting or instigating suicide1","Bayankhongor","9","2","2","2","5","0","1","5"
"Other acts of assisting or instigating suicide1","Arkhangai","9","5","7","7","4","1","0","3"
"Other acts of assisting or instigating suicide1","Khuvsgul","42","8","6","8","6","6","3","17"
"Other acts of assisting or instigating suicide1","Tuv","5","6","43","54","29","10","51","15"
"Other acts of assisting or instigating suicide1","Govisumber","3","2","2","3","3","","1","1"
"Other acts of assisting or instigating suicide1","Selenge","7","4","4","5","7","3","10","19"
"Other acts of assisting or instigating suicide1","Dornogovi","5","6","10","3","6","1","5","13"
"Other acts of assisting or instigating suicide1","Darkhan-Uul","19","16","9","8","11","3","2","10"
"Other acts of assisting or instigating suicide1","Umnugovi","31","7","6","8","4","5","1","8"
"Other acts of assisting or instigating suicide1","Dundgovi","3","6","0","4","1","1","1","2"
"Other acts of assisting or instigating suicide1","Dornod","16","7","9","7","9","0","3","6"
"Other acts of assisting or instigating suicide1","Sukhbaatar","17","0","3","6","1","3","3","2"
"Other acts of assisting or instigating suicide1","Khentii","2","1","5","3","1","2","1","7"
"Other acts of assisting or instigating suicide1","Ulaanbaatar","479","204","184","178","174","94","107","336"
