Statistical indicator,Administrator unit,Year,Key,Value,Population,Rate,Difference to Average,MapX,MapY,Inclination
Murder,Zavkhan,2010,Zavkhan - 2010,2,65368,3.059601028,-5.270810625,3,3.5,blue
Murder,Zavkhan,2011,Zavkhan - 2011,1,64224,1.557050324,-7.761268424,3,3.5,blue
Murder,Zavkhan,2012,Zavkhan - 2012,2,64620,3.095017023,-4.960095289,3,3.5,blue
Murder,Zavkhan,2013,Zavkhan - 2013,2,64570,3.09741366,-3.864385515,3,3.5,blue
Murder,Zavkhan,2014,Zavkhan - 2014,3,69732,4.30218551,-2.740658009,3,3.5,blue
Murder,Zavkhan,2015,Zavkhan - 2015,4,69916,5.721151096,-0.950360047,3,3.5,blue
Murder,Zavkhan,2016,Zavkhan - 2016,1,70546,1.417514813,-4.159524452,3,3.5,blue
Murder,Zavkhan,2017,Zavkhan - 2017,2,71551,2.795209012,-3.152116564,3,3.5,blue
Murder,Govi-Altai,2010,Govi-Altai - 2010,6,53547,11.20510953,2.874697877,3,2.5,red
Murder,Govi-Altai,2011,Govi-Altai - 2011,3,52970,5.66358316,-3.654735587,3,2.5,blue
Murder,Govi-Altai,2012,Govi-Altai - 2012,1,53699,1.862232071,-6.19288024,3,2.5,blue
Murder,Govi-Altai,2013,Govi-Altai - 2013,0,53329,0,-6.961799175,3,2.5,blue
Murder,Govi-Altai,2014,Govi-Altai - 2014,3,56735,5.287741253,-1.755102267,3,2.5,blue
Murder,Govi-Altai,2015,Govi-Altai - 2015,1,56209,1.779074525,-4.892436618,3,2.5,blue
Murder,Govi-Altai,2016,Govi-Altai - 2016,1,56587,1.767190344,-3.809848921,3,2.5,blue
Murder,Govi-Altai,2017,Govi-Altai - 2017,0,57484,0,-5.947325576,3,2.5,blue
Murder,Bayan-Ulgii,2010,Bayan-Ulgii - 2010,1,88183,1.134005421,-7.196406232,1,4,blue
Murder,Bayan-Ulgii,2011,Bayan-Ulgii - 2011,4,88772,4.505925292,-4.812393456,1,4,blue
Murder,Bayan-Ulgii,2012,Bayan-Ulgii - 2012,1,90511,1.104838086,-6.950274225,1,4,blue
Murder,Bayan-Ulgii,2013,Bayan-Ulgii - 2013,1,92454,1.081618967,-5.880180207,1,4,blue
Murder,Bayan-Ulgii,2014,Bayan-Ulgii - 2014,3,95151,3.152883312,-3.889960208,1,4,blue
Murder,Bayan-Ulgii,2015,Bayan-Ulgii - 2015,2,100189,1.996227131,-4.675284012,1,4,blue
Murder,Bayan-Ulgii,2016,Bayan-Ulgii - 2016,0,100172,0,-5.577039265,1,4,blue
Murder,Bayan-Ulgii,2017,Bayan-Ulgii - 2017,1,102604,0.974620872,-4.972704703,1,4,blue
Murder,Khovd,2010,Khovd - 2010,1,76822,1.301710448,-7.028701205,2,3,blue
