"Urban and Rural","Aimag","1935","1944","1956","1963","1969","1979","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Total","Bayan-Ulgii","","35,995","38,765","47,838","58,131","71,372","90,911","99,022","100,171","83,632","73,116","76,585","79,793","82,575","85,502","88,279","91,068","91,579","89,948","92,449","94,972","93,732","92,767","92,787","91,378","89,957","89,270","88,183","88,772","90,511","92,454","95,151","100,189","100,172","102,604"
"Total","Govi-Altai","","37,348","40,940","42,837","47,434","55,779","62,773","64,744","65,935","66,530","66,394","66,413","66,581","66,601","66,359","65,676","63,673","63,134","63,258","61,348","59,651","58,760","57,814","57,301","56,699","55,894","55,012","53,547","52,970","53,699","53,329","56,735","56,209","56,587","57,484"
"Total","Zavkhan","88,718","63,990","55,121","59,975","70,767","79,775","88,518","92,159","94,263","95,782","95,658","95,881","95,876","95,787","95,119","93,840","89,999","86,176","84,662","81,424","78,723","75,445","73,853","73,320","72,769","70,399","68,864","65,368","64,224","64,620","64,570","69,732","69,916","70,546","71,551"
"Total","Uvs","46,321","46,883","46,827","51,784","60,374","72,246","83,958","88,810","91,256","93,345","94,328","95,421","95,897","95,910","94,701","93,760","90,037","86,358","84,814","82,235","80,048","78,744","77,918","77,351","76,793","75,714","74,264","73,228","72,984","73,824","73,972","75,792","80,763","81,278","82,688"
"Total","Khovd","42,585","39,000","42,326","47,329","53,971","62,563","76,553","81,384","83,323","81,715","81,855","83,249","84,830","85,870","86,947","87,030","86,831","86,402","85,766","84,778","83,050","82,217","81,569","81,248","80,086","78,738","77,782","76,822","77,224","78,346","78,981","81,479","83,517","84,486","86,376"
"Total","Arkhangai","115,613","64,907","60,300","63,449","72,301","77,464","84,517","88,992","91,127","93,070","94,067","95,116","96,108","97,148","97,866","98,416","97,091","96,902","97,004","95,525","93,554","91,708","89,976","88,762","87,687","86,715","86,016","84,562","84,355","85,175","85,654","93,086","92,059","93,135","95,106"
"Total","Bayankhongor","","43,009","42,107","45,724","52,378","62,969","74,574","78,086","80,289","81,737","82,094","82,822","83,779","84,572","85,203","85,581","84,779","84,500","84,049","81,958","79,955","79,766","78,716","78,104","77,712","77,885","77,263","76,221","76,651","77,846","78,432","83,044","83,936","84,807","86,594"
"Total","Bulgan","","36,742","30,947","33,127","37,373","42,378","51,910","55,179","56,644","57,994","58,643","59,269","60,057","60,741","61,477","62,192","61,776","61,832","61,656","61,092","59,530","56,725","54,982","54,613","54,030","54,110","54,211","53,701","54,117","54,548","54,522","60,494","60,014","60,603","61,289"
"Total","Uvurkhangai","65,002","54,164","49,838","56,236","66,783","82,576","96,510","101,543","103,734","105,745","106,853","107,866","109,211","110,256","111,313","111,827","111,420","111,562","111,121","109,520","107,342","105,865","105,015","104,670","104,004","103,442","102,931","101,374","101,211","102,148","101,621","112,992","112,353","113,157","115,098"
"Total","Khuvsgul","67,494","60,497","58,226","63,689","74,826","88,251","101,833","107,528","110,166","112,518","114,000","115,434","116,814","117,806","118,626","119,338","119,063","118,946","119,165","119,223","118,040","117,010","116,414","115,937","115,373","115,140","115,335","114,939","115,934","117,646","118,679","126,043","128,159","129,382","131,561"
"Total","Orkhon","","","","","","31,951","56,136","59,740","58,991","58,664","60,877","63,058","65,194","66,947","68,776","69,858","71,525","76,464","77,368","78,780","76,999","80,799","81,834","82,764","83,873","86,189","87,866","90,948","91,488","92,830","93,947","94,421","100,731","101,789","103,997"
"Total","Dornogovi","26,389","19,890","23,436","27,478","30,890","42,422","57,103","59,715","47,152","45,056","45,561","45,707","46,309","47,148","47,979","48,844","50,575","50,977","51,335","51,783","51,827","52,151","52,913","54,105","55,128","56,695","57,693","58,859","60,206","61,302","62,537","63,808","65,267","66,450","68,147"
"Total","Dundgovi","","27,582","24,597","28,785","30,706","39,078","49,320","51,005","51,883","52,508","52,680","52,713","52,957","52,985","53,078","52,898","51,517","50,602","49,910","49,094","47,780","46,473","45,465","44,353","43,240","42,027","40,776","38,728","37,726","37,773","37,364","44,351","44,429","44,762","45,755"
"Total","Umnugovi","33,947","20,269","20,173","22,785","26,390","32,865","42,445","43,945","44,819","45,082","45,144","45,340","45,608","45,950","46,353","46,698","46,858","47,852","49,207","50,070","50,552","51,576","51,852","53,215","54,594","56,355","58,949","61,591","63,426","65,373","67,149","59,694","61,655","63,307","65,314"
"Total","Selenge","36,128","13,981","26,749","45,051","42,728","65,114","86,952","92,538","92,732","90,780","91,382","92,922","94,548","95,946","97,212","98,774","99,950","100,060","100,054","99,730","98,631","96,801","95,112","94,627","94,244","94,463","95,575","97,876","99,240","103,543","103,191","106,212","106,292","107,513","109,605"
"Total","Tuv","78,307","56,384","55,252","52,525","63,600","80,559","100,088","103,364","103,771","104,307","104,023","103,408","103,086","102,947","102,489","101,391","99,268","97,507","95,389","95,113","90,714","86,741","84,722","83,376","82,443","82,820","84,109","85,411","85,705","86,818","85,898","90,107","90,421","91,660","94,041"
"Total","Darkhan-Uul","10,385","30,362","118,387","223,695","23,286","50,684","85,737","86,884","85,655","82,634","82,457","82,167","82,210","81,932","81,799","82,157","83,271","85,041","86,497","88,590","87,623","89,212","89,412","89,570","89,882","90,775","92,927","94,922","96,031","97,917","98,969","99,947","100,939","101,876","104,074"
"Total","Govisumber","","","","","","","","","12,191","12,517","12,492","13,055","13,012","12,833","12,665","12,520","12,230","12,264","12,343","12,327","12,069","12,065","11,984","12,015","12,224","12,511","12,886","13,323","13,859","14,308","14,801","16,058","16,522","16,926","17,383"
"Total","Dornod","59,211","30,875","35,111","36,066","42,870","58,838","81,073","82,995","82,220","80,001","79,999","79,574","79,235","78,524","77,838","76,906","75,373","73,819","73,762","73,592","72,884","71,889","71,202","70,985","69,938","70,251","69,924","69,552","70,214","71,275","71,529","75,194","76,476","77,579","79,445"
"Total","Sukhbaatar","","31,050","30,723","32,051","35,290","43,036","50,846","53,197","54,909","55,862","56,206","56,613","56,870","57,016","56,922","56,727","56,166","55,537","55,383","55,143","55,109","54,918","54,040","53,270","52,514","51,982","51,681","51,422","51,782","52,646","53,147","57,423","59,034","59,810","61,131"
"Total","Khentii","53,557","35,486","34,831","36,734","40,122","52,803","73,804","76,408","74,498","72,232","72,461","72,722","72,989","73,291","73,278","72,766","70,946","70,861","70,717","70,359","68,935","68,517","67,571","67,363","67,036","66,223","66,144","65,942","66,447","67,466","67,489","71,212","72,609","73,663","75,683"
"Total","Ulaanbaatar","10,385","15,647","118,387","223,695","267,375","402,283","548,393","586,228","591,489","586,651","601,609","621,557","642,036","663,231","685,983","714,657","760,077","794,730","828,989","871,524","927,103","970,619","1,015,950","1,053,518","1,098,799","1,147,670","1,196,797","1,244,449","1,287,100","1,318,130","1,372,042","1,362,974","1,396,288","1,440,447","1,462,973"
